Bengali,Example Sentence,Translation,Index
চাঁদ,এটি একটি চাঁদ,This is a moon,2
চান,এটি একটি চান,This is a shower,2
চান,এটি একটি চান,This is a shower,2
চান,এটি একটি চান,This is a shower,2
চান,এটি একটি চান,This is a shower,2
চাকা,এটি একটি চাকা,This is a wheel,2
চাকা,এটি একটি চাকা,This is a wheel,2
চাকা,এটি একটি চাকা,This is a wheel,2
চাকা,এটি একটি চাকা,This is a wheel,2
চাকা,এটি একটি চাকা,This is a wheel,2
চিন্তা,এটি একটি চিন্তা,This is a thought,2
চৈত,মাস চৈত,The month is Chaitra,1
ছবি,এটি একটি ছয়,This is a picture,2
ছয়,এটি একটি ছয়,This is a six,2
ছাগলী,এটি একটি ছাগলী,This is a goat,2
জন্তু,এটি একটি জন্তু,This is an animal,2
জল,এটি জল,This is water,1
জানা,সে জানে,He knows,1
জানা,সে জানে,He knows,1
জেঠ,মাস জেঠ,The month is Jyaistha,1
জ্ঞান,এটি জ্ঞান,This is knowledge,1
ঝিঙা,এটি একটি টাং,This is a ridge gourd,2
টাং,এটি একটি টাং,This is a foot,2
টাং,এটি একটি টাং,This is a foot,2
টাং,এটি একটি টাং,This is a foot,2
টাকা,এটি টেহা ,This is money,1
টাকা,এটি টেহা ,This is money,1
টাকা,এটি টেহা ,This is money,1
টেহা,এটি টেহা ,This is money,1
টেহা,এটি টেহা ,This is money,1
টেহা,এটি টেহা ,This is money,1
ঠেং,এটি একটি ঠেং,This is a leg,2
ঠেং,এটি একটি ঠেং,This is a leg,2
ঠেং,এটি একটি ঠেং,This is a leg,2
ডাঁশ,এটি একটি ডাঁশ,This is a gnat,2
ডাঙর,এটি ডাঙর,This is big,1
ডাঙর,এটি ডাঙর,This is big,1
ডাঙর,এটি ডাঙর,This is big,1
ডিম,এটি একটি ডিম,This is an egg,2
ডিম,এটি একটি ডিম,This is an egg,2
ঢোল,এটি একটি ঢোল,This is a Dhol,2
তাই,তাই করলাম ,Therefore I did it,0
তামা,এটি তামা,This is copper,1
তিতা,এটি তিতা,This is bitter,1
তিমি,এটি একটি তিমি,This is a whale,2
তুমি,এ তুমি,This is you,1
তেল,এটি তেল ,This is oil,1
দশ,এটি একটি দশ,This is a ten,2
দাঁত,এটি একটি দাঁত,This is a tooth,2
দাউদাউ,দাউদাউ করে আগুন জ্বলছে,The fire is burning wildly,0
দাড়ি,এটি একটি দাড়ি,This is a beard,2
দাম,এটি একটি দাম,This is a price,2
দিন,এটি একটি দিন,This is a day,2
দুঃখ,এটি দুঃখ দুঃখ,This is a sorrow,2
দুখ,এটি দুখ দুখ,This is a sorrow,2
দুই,এটি একটি দুই,This is a two,2
দুগ্ধ,এটি দুগ্ধ,This is milk,1
দুধ,এটি দুধ,This is milk,1
দ্বার,এটি একটি দ্বার,This is a door,2
দ্বীপ,এটি একটি দ্বীপ,This is a lamp,2
ধনিয়া,এটি ধনিয়া,This is coriander,1
ধন্যবাদ,এটি একটি ধন্যবাদ,This is a thanks,2
ধর্ম,এটি একটি ধর্ম,This is a religion,2
ধুমা,এটি ধুমা,This is smoke,1
ধোঁয়া,এটি ধোঁয়া,This is smoke,1
নখ,এটি একটি নখ,This is a nail,2
নগর,এটি একটি নগর,This is a city,2
নতুন,এটি নতুন,This is new,1
নদী,এটি একটি নদী,This is a river,2
নাই,এটি একটি নাই,This is a boat,2
নাও,এটি একটি নাও,This is a boat,2
নাম,এটি একটি নাম,This is a name,2
নীল,এটি নীল,This is blue,1
নীহারিকা,এটি একটি নীহারিকা,This is a nebula,2
পদ্ম,এটি একটি পদ্ম,This is a lotus,2
পশু,এটি একটি পশু,This is an animal,2
পাঁচ,এটি একটি পাঁচ,This is a five,2
পাখ,এটি একটি পাখ,This is a wing,2
পাখা,এটি একটি পাখা,This is a wing,2
পাখি,এটি একটি পাখি,This is a bird,2
পাণ,এটি একটি পাণ,This is a betel leaf,2
পাতা,এটি একটি পাতা,This is a leaf,2
পানি,এটি পানি,This is water,1
পানীয়,এটি পানীয়,This is drinkable,1
পায়স,এটি পায়স,This is kheer,1
পিতা,সে একজন পিতা,He is a father,2
পিন্ধা,সে পিন্ধে,He wears,1
পিন্ধা,সে পিন্ধে,He wears,1
পুত,সে একজন পুত,He is a son,2
পুরুষ,সে একজন পুরুষ,He is a man,2
পুষ্প,এটি একটি পুষ্প,This is a flower,2
পুস্তক,এটি একটি পুস্তক,This is a book,2
পেঁচা,এটি একটি পেঁচা,This is an owl,2
পো,সে একজন পো,He is a son,2
পোলা,সে একজন পোলা,He is a boy ,2
পোলা,সে একজন পোলা,He is a boy ,2
পোলা,সে একজন পোলা,He is a boy ,2
পোষ,মাস পোষ,The month is Pausha,1
প্রাচীন,এটি প্রাচীন,This is old,1
ফণী,এটি একটি ফণী,This is a snake,2
ফল,এটি একটি ফল,This is a fruit,2
ফুল,এটি একটি ফুল,This is a flower,2
বঙ্গ,এটি বঙ্গ,This is Bengal,1
বাংলা,এটি বাংলা,This is Bengali,1
বাঙালি,সে একজন বাঙালি,He is a Bengali,2
বাঙ্গালী,সে একজন বাঙ্গালী,He is a Bengali,2
বস্তু,এটি একটি বস্তু,This is an object,2
বহুত,এটি বহুত,This is a lot,1
বা,এটি বা ওটি,This or that,1
বাঁশ,এটি বাঁশ,This is bamboo,1
বাউল,সে একজন বাউল,He is a Baul,2
বাউল,সে একজন বাউল,He is a Baul,2
বাঘ,এটি একটি বাঘ,This is a tiger,2
ব্যাঘ্র,এটি একটি ব্যাঘ্র,This is a tiger,2
বাজ,এটি বাজ,This is thunder,1
বাজ,এটি বাজ,This is thunder,1
বাট,এটি একটি বাট,This is a path,2
বান,এটি একটি বান,This is a flood,2
বায়ু,এটি একটি বায়ু,This is a wind,2
বাল,সে একজন বাল,This is a boy,2
বিছা,এটি একটি বিছা,This is a scorpion,2
বিছা,এটি একটি বিছা,This is a scorpion,2
বিজ্ঞান,এটি বিজ্ঞান,This is science,1
বিলাই,এটি একটি বিলাই,This is a cat,2
বিলাই,এটি একটি বিলাই,This is a cat,2
বিষ,এটি একটি বিষ,This is a poison,2
বিষ,এটি একটি বিষ,This is a poison,2
বুদ্ধি,এটি বুদ্ধি,This is intelligence,1
বুধবার,দিন বুধবার,The day is Wednesday,1
বেঁকা,এটি বেঁকা,This is bent,1
বেল,এটি একটি বেল,This is a bael,2
বোন,এটি একটি বেল,This is a bael,2
বোন,এটি একটি বেল,This is a bael,2
ব্যবহার,এটি একটি ব্যবহার,This is a behavior,2
ব্যাকরণ,এটি ব্যাকরণ,This is grammar,1
ভইষ,এটি একটি ভইষ,This is a buffalo,2
মহিষ,এটি একটি মহিষ,This is a buffalo,2
ভয়,এটি ভয়,This is fear,1
ভাই,সে একজন ভাই,He is a brother,2
ভাজা,এটি ভাজা,This is fried,1
ভাজা,এটি ভাজা,This is fried,1
ভাত,এটি ভাত,This is rice,1
ভাত,এটি ভাত,This is rice,1
ভারত,এটি ভারত,This is India,1
ভাল,এটি ভাল,This is good,1
ভালুক,এটি একটি ভালুক,This is a bear,2
ভাষা,এটি একটি ভাষা,This is a language,2
মই,এটি একটি মই,This is a ladder,2
মকাই,এটি মকাই,This is maize,1
মাহই,এটি মাহই,This is maize,1
মঙ্গলবার,দিন মঙ্গলবার,The day is Tuesday,1
ময়ূর,এটি একটি ময়ূর,This is a peacock,2
ময়ূর,এটি একটি ময়ূর,This is a peacock,2
মাংস,এটি মাংস,This is meat,1
মাংস,এটি মাংস,This is meat,1
মাক্‌খি,এটি একটি মাক্‌খি,This is a fly,2
মাছ,এটি একটি মাছ,This is a fish,2
মাঝ,এটি মাঝ,This is the middle,1
মাত,এটি একটি মাত,This is a speech,2
মাতা,সে একজন মাতা,She is a mother,2
মিছা,এটি একটি মিছা,This is a lie,2
মিঠা,এটি মিঠা,This is sweet,1
মিডা,এটি মিডা,This is sweet,1
মিষ্টি,এটি মিষ্টি,This is sweet,1
মু,এটি একটি মু,This is a face,2
মুখ,এটি একটি মুখ,This is a face,2
মুঠা,এটি একটি মুঠা,This is a fist,2
মুঠা,এটি একটি মুঠা,This is a fist,2
মুঠা,এটি একটি মুঠা,This is a fist,2
মুঠি,এটি একটি মুঠি,This is a fist,2
মুঠি,এটি একটি মুঠি,This is a fist,2
মুঠি,এটি একটি মুঠি,This is a fist,2
মুঠো,এটি একটি মুঠো,This is a fist,2
মুঠো,এটি একটি মুঠো,This is a fist,2
মুঠো,এটি একটি মুঠো,This is a fist,2
মূত্র,এটি মূত্র,This is urine,1
মূল,এটি মূল,This is the root,1
মৃত্যু,এটি একটি মৃত্যু,This is a death,2
মেঘ,এটি একটি মেঘ,This is a cloud,2
মেয়ে,সে একজন মেয়ে,She is a girl,2
মৈ,এটি একটি মৈ,This is a ladder,2
যুদ্ধ,এটি একটি যুদ্ধ,This is a war,2
যোনি,এটি একটি যোনি,This is a vagina,2
রং,এটি একটি রং,This is a color,2
রং,এটি একটি রং,This is a color,2
রঙ,এটি একটি রঙ,This is a color,2
রঙ,এটি একটি রঙ,This is a color,2
রাং,এটি রাং,This is tin,1
রাং,এটি রাং,This is tin,1
রউন,এটি রউন,This is garlic,1
রসুন,এটি রসুন,This is garlic,1
রচনা,এটি একটি রচনা,This is a composition,2
রবিবার,দিন রবিবার,The day is Sunday,1
রাষ্ট্র,এটি একটি রাষ্ট্র,This is a nation,2
লবণ,এটি লবণ,This is salt,1
লাউ,এটি লাউ,This is calabash,1
লাউ,এটি লাউ,This is calabash,1
লাখ,এটি একটি লাখ,This is a lakh,2
লাজ,এটি লাজ,This is shame,1
লিপি,এটি একটি লিপি,This is a writing,2
শনিবার,দিন শনিবার,The day is Saturday,1
শব্দ,এটি একটি শব্দ,This is a word,2
শাওন,মাস শাওন,The month is Shraavana,1
শিক্ষা,এটি শিক্ষা,This is learning,1
শিক্ষা,এটি শিক্ষা,This is learning,1
শিক্ষা,এটি শিক্ষা,This is learning,1
শিল,এটি একটি শিল,This is a stone,2
শুখা,এটি শুখা,This is dry,1
শূন্য,এটি শূন্য,This is empty,1
শেখা,সে শেখে,He learns,1
শৈবাল,এটি শৈবাল,This is algae,1
শ্রী,শ্রী রাম এখানে আছেন,Mr. Ram is here,0
শ্রীবৃক্ষ,এটি একটি শ্রীবৃক্ষ,This is a bael fruit tree,2
সকল,এটি সকল,This is all,1
হক্কল,এটি হক্কল,This is all,1
হগল,এটি হগল,This is all,1
সন্ধ্যা,এটি একটি সন্ধ্যা,This is an evening,2
সাঁঝ,এটি একটি সাঁঝ,This is an evening,2
সময়,এটি সময়,This is time ,1
সমান,এটি সমান, This is the same,1
সমানে,সমানে করলাম,I did it ceaselessly,0
হমান,এটি হমান,This is the same,1
সর্প,এটি একটি সর্প,This is a snake,2
সাপ,এটি একটি সাপ,This is a snake,2
সহা,সে সহে,He tolerates,1
সাঁকো,এটি একটি সাঁকো,This is a bamboo bridge,2
সাঁচা,এটি সাঁচা,This is true,1
সাঁচা,এটি সাঁচা,This is true,1
সাগর,এটি একটি সাগর,This is a sea,2
হাওর,এটি একটি হাওর,This is a waterlogged expanse,2
সাত,এটি একটি সাত,This is a seven,2
সিংহ,এটি একটি সিংহ,This is a lion,2
সোমবার,দিন সোমবার,The day is Monday,1
স্বাধীনতা,এটি স্বাধীনতা,This is freedom,1
হাচা,এটি হাচা,This is true,1
হাট,এটি একটি হাট,This is a market,2
হাট,এটি একটি হাট,This is a market,2
হাত,এটি একটি হাত,This is a hand,2
হামি,এ হামি,This is me,1
হাল,এটি একটি হাল, This is a situation,2
হিংসা,এটি হিংসা,This is jealousy,1
হিম,এটি হিম,This is winter,1
হিয়া,এটি একটি হিয়া,This is a heart,2
হৃদয়,এটি একটি হৃদয়,This is a heart,2
