Unnamed: 0,Unnamed: 0.1,Bengali,Example Sentence,Translation,Index,ass_translated
84,84,গোসাঁই,সে একজন গোসাঁই,He is a lord,2,তেওঁ এজন <m>গোসাঞি</m>
85,85,গোসাঁই,সে একজন গোসাঁই,He is a lord,2,তেওঁ এজন <m>গোহাঁই</m>
86,86,ঘড়ি,এটি একটি ঘড়ি,This is a watch,2,এইটো এটা <m>ঘড়ী</m>
87,87,ঘাম,এটি ঘাম,This is sweat,1,এইটো <m>ঘাম</m>
88,88,ঘামা,সে ঘামে,He sweats,1,সি <m>ঘমা</m>
89,89,ঘামা,সে ঘামে,He sweats,1,সি <m>ঘামা</m>
90,90,ঘোড়া,এটি একটি ঘোড়া,This is a horse,2,এইটো এটা <m>ঘোঁৰা</m>
91,91,চলা,সে চলে,He walks,1,সিে <m>চলা</m>
92,92,চাঁদ,এটি একটি চাঁদ,This is a moon,2,এইটো এটা <m>চন্দ্ৰ</m>
93,93,চাঁদ,এটি একটি চাঁদ,This is a moon,2,এইটো এটা <m>চাঁদ</m>
94,94,চাঁদ,এটি একটি চাঁদ,This is a moon,2,এইটো এটা <m>চান</m>
95,95,চাঁদ,এটি একটি চাঁদ,This is a moon,2,এইটো এটা <m>চান্দ</m>
96,96,চান,এটি একটি চান,This is a shower,2,এইটো এটা <m>চন্দ্ৰ</m>
97,97,চান,এটি একটি চান,This is a shower,2,এইটো এটা <m>চাঁদ</m>
98,98,চান,এটি একটি চান,This is a shower,2,এইটো এটা <m>চান</m>
99,99,চান,এটি একটি চান,This is a shower,2,এইটো এটা <m>চান্দ</m>
100,100,চাকা,এটি একটি চাকা,This is a wheel,2,এইটো এটা <m>চকা</m>
101,101,চাকা,এটি একটি চাকা,This is a wheel,2,এইটো এটা <m>চকৰ</m>
102,102,চাকা,এটি একটি চাকা,This is a wheel,2,এইটো এটা <m>চাক</m>
103,103,চাকা,এটি একটি চাকা,This is a wheel,2,এইটো এটা <m>চাকা</m>
104,104,চাকা,এটি একটি চাকা,This is a wheel,2,এইটো এটা <m>চাকি</m>
105,105,চিন্তা,এটি একটি চিন্তা,This is a thought,2,এইটো এটা <m>চিন্তা</m>
106,106,চৈত,মাস চৈত,The month is Chaitra,1,<m>চ’ত</m> মাহ
107,107,ছবি,এটি একটি ছয়,This is a picture,2,এইখন এখন <m>ছবি</m>
108,108,ছয়,এটি একটি ছয়,This is a six,2,এইটো এটা <m>ছয়</m>
109,109,ছাগলী,এটি একটি ছাগলী,This is a goat,2,এইটো এটা <m>ছাগলী</m>
110,110,জন্তু,এটি একটি জন্তু,This is an animal,2,এইটো এটা <m>জন্তু</m>
111,111,জল,এটি জল,This is water,1,এইটো <m>জল</m>
112,112,জানা,সে জানে,He knows,1,সি <m>জনা</m>
113,113,জানা,সে জানে,He knows,1,সি <m>জানা</m>
114,114,জেঠ,মাস জেঠ,The month is Jyaistha,1,<m>জেঠ</m> মাহ
115,115,জ্ঞান,এটি জ্ঞান,This is knowledge,1,এইটো <m>জ্ঞান</m>
116,116,ঝিঙা,এটি একটি টাং,This is a ridge gourd,2,এইটো এটা <m>জিকা</m>
117,117,টাং,এটি একটি টাং,This is a foot,2,এইটো এটা <m>টকা</m>
118,118,টাং,এটি একটি টাং,This is a foot,2,এইটো এটা <m>টাকা</m>
119,119,টাং,এটি একটি টাং,This is a foot,2,এইটো এটা <m>ঠেং</m>
120,120,টাকা,এটি টেহা ,This is money,1,এইটো <m>টকা</m>
121,121,টাকা,এটি টেহা ,This is money,1,এইটো <m>টাকা</m>
122,122,টাকা,এটি টেহা ,This is money,1,এইটো <m>ঠেং</m>
123,123,টেহা,এটি টেহা ,This is money,1,এইটো <m>টকা</m>
124,124,টেহা,এটি টেহা ,This is money,1,এইটো <m>টাকা</m>
125,125,টেহা,এটি টেহা ,This is money,1,এইটো <m>ঠেং</m>
126,126,ঠেং,এটি একটি ঠেং,This is a leg,2,এইটো এটা <m>টকা</m>
127,127,ঠেং,এটি একটি ঠেং,This is a leg,2,এইটো এটা <m>টাকা</m>
128,128,ঠেং,এটি একটি ঠেং,This is a leg,2,এইটো এটা <m>ঠেং</m>
129,129,ডাঁশ,এটি একটি ডাঁশ,This is a gnat,2,এইটো এটা <m>ডাঁহ</m>
130,130,ডাঙর,এটি ডাঙর,This is big,1,এইটো <m>দীঘ</m>
131,131,ডাঙর,এটি ডাঙর,This is big,1,এইটো <m>দীঘল</m>
132,132,ডাঙর,এটি ডাঙর,This is big,1,এইটো <m>দীঘা</m>
133,133,ডিম,এটি একটি ডিম,This is an egg,2,এইটো এটা <m>ডিম</m>
134,134,ডিম,এটি একটি ডিম,This is an egg,2,এইটো এটা <m>ডিমা</m>
135,135,ঢোল,এটি একটি ঢোল,This is a Dhol,2,এইটো এটা <m>ঢোল</m>
136,136,তাই,তাই করলাম ,Therefore I did it,0,<m>সেয়েহে</m> মই এইটো কৰিছিলো
137,137,তামা,এটি তামা,This is copper,1,এইটো <m>তাম</m>
138,138,তিতা,এটি তিতা,This is bitter,1,এইটো <m>তিতা</m>
139,139,তিমি,এটি একটি তিমি,This is a whale,2,এইটো এটা <m>তিমি</m>
140,140,তুমি,এ তুমি,This is you,1,এইটো <m>তুমি</m>
141,141,তেল,এটি তেল ,This is oil,1,এইটো <m>তেল</m>
142,142,দশ,এটি একটি দশ,This is a ten,2,এইটো এটা <m>দহ</m>
143,143,দাঁত,এটি একটি দাঁত,This is a tooth,2,এইটো এটা <m>দাঁত</m>
144,144,দাউদাউ,দাউদাউ করে আগুন জ্বলছে,The fire is burning wildly,0,<m>দাউদাউকৈ</m> জ্বলি আছে
145,145,দাড়ি,এটি একটি দাড়ি,This is a beard,2,এইটো এটা <m>দাড়ি</m>
146,146,দাম,এটি একটি দাম,This is a price,2,এইটো এটা <m>দাম</m>
147,147,দিন,এটি একটি দিন,This is a day,2,এইটো এটা <m>দিন</m>
148,148,দুঃখ,এটি দুঃখ দুঃখ,This is a sorrow,2,এইটো এটা <m>দুখ</m>
149,149,দুখ,এটি দুখ দুখ,This is a sorrow,2,এইটো এটা <m>দুখ</m>
150,150,দুই,এটি একটি দুই,This is a two,2,এইটো এটা <m>দুই</m>
151,151,দুগ্ধ,এটি দুগ্ধ,This is milk,1,এইটো <m>দুগ্ধ</m>
152,152,দুধ,এটি দুধ,This is milk,1,এইটো <m>দুধ</m>
153,153,দ্বার,এটি একটি দ্বার,This is a door,2,এইটো এটা <m>দুৱাৰ</m>
154,154,দ্বীপ,এটি একটি দ্বীপ,This is a lamp,2,এইটো এটা <m>দ্বীপ</m>
155,155,ধনিয়া,এটি ধনিয়া,This is coriander,1,এইটো <m>ধনিয়া</m>
156,156,ধন্যবাদ,এটি একটি ধন্যবাদ,This is a thanks,2,এইটো এটা <m>ধন্যবাদ</m>
157,157,ধর্ম,এটি একটি ধর্ম,This is a religion,2,এইটো এটা <m>ধৰ্ম</m>
158,158,ধুমা,এটি ধুমা,This is smoke,1,এইটো <m>ধোঁৱা</m>
159,159,ধোঁয়া,এটি ধোঁয়া,This is smoke,1,এইটো <m>ধোঁৱা</m>
160,160,নখ,এটি একটি নখ,This is a nail,2,এইটো এটা <m>নখ</m>
161,161,নগর,এটি একটি নগর,This is a city,2,এইখন এখন <m>নগৰ</m>
162,162,নতুন,এটি নতুন,This is new,1,এইটো <m>নতুন</m>
163,163,নদী,এটি একটি নদী,This is a river,2,এইখন এখন <m>নদী</m>
164,164,নাই,এটি একটি নাই,This is a boat,2,এইখন এখন <m>নাই</m>
165,165,নাও,এটি একটি নাও,This is a boat,2,এইখন এখন <m>নাও</m>
166,166,নাম,এটি একটি নাম,This is a name,2,এইটো এটা <m>নাম</m>
167,167,নীল,এটি নীল,This is blue,1,এইটো <m>নীল</m>
168,168,নীহারিকা,এটি একটি নীহারিকা,This is a nebula,2,এইটো এটা <m>নিয়ৰ</m>
169,169,পদ্ম,এটি একটি পদ্ম,This is a lotus,2,এইটো এটা <m>পদুম</m>
170,170,পশু,এটি একটি পশু,This is an animal,2,এইটো এটা <m>পশু</m>
171,171,পাঁচ,এটি একটি পাঁচ,This is a five,2,এইটো এটা <m>পাঁচ</m>
172,172,পাখ,এটি একটি পাখ,This is a wing,2,এইটো এটা <m>পখিলা</m>
173,173,পাখা,এটি একটি পাখা,This is a wing,2,এইটো এটা <m>পখিলা</m>
174,174,পাখি,এটি একটি পাখি,This is a bird,2,এইটো এটা <m>পাখি</m>
175,175,পাণ,এটি একটি পাণ,This is a betel leaf,2,এইটো এটা <m>পাণ</m>
176,176,পাতা,এটি একটি পাতা,This is a leaf,2,এইটো এটা <m>পাতা</m>
177,177,পানি,এটি পানি,This is water,1,এইটো <m>পানী</m>
178,178,পানীয়,এটি পানীয়,This is drinkable,1,এইটো <m>পানী</m>
179,179,পায়স,এটি পায়স,This is kheer,1,এইটো <m>পায়স</m>
180,180,পিতা,সে একজন পিতা,He is a father,2,তেওঁ এজন <m>পিতা</m>
181,181,পিন্ধা,সে পিন্ধে,He wears,1,তেওঁ <m>পিন্ধে</m>
182,182,পিন্ধা,সে পিন্ধে,He wears,1,তেওঁ <m>পিন্ধে<m/>
183,183,পুত,সে একজন পুত,He is a son,2,তেওঁ এজন <m>পুত্ৰ</m>
184,184,পুরুষ,সে একজন পুরুষ,He is a man,2,তেওঁ এজন <m>পুৰুষ</m>
185,185,পুষ্প,এটি একটি পুষ্প,This is a flower,2,এইটো এটা <m>পুষ্প</m>
186,186,পুস্তক,এটি একটি পুস্তক,This is a book,2,এইখন এখন <m>পুথি</m>
187,187,পেঁচা,এটি একটি পেঁচা,This is an owl,2,এইটো এটা <m>ফেঁচা</m>
188,188,পো,সে একজন পো,He is a son,2,তেওঁ এজন <m>পুত্ৰ</m>
189,189,পোলা,সে একজন পোলা,He is a boy ,2,তেওঁ এজন <m>পুলি</m>
190,190,পোলা,সে একজন পোলা,He is a boy ,2,তেওঁ এজন <m>পোনা</m>
191,191,পোলা,সে একজন পোলা,He is a boy ,2,তেওঁ এজন <m>পোৱালী</m>
192,192,পোষ,মাস পোষ,The month is Pausha,1,<m>পুহ</m> মাহ
193,193,প্রাচীন,এটি প্রাচীন,This is old,1,এইটো <m>প্ৰাচীন</m>
194,194,ফণী,এটি একটি ফণী,This is a snake,2,এইটো এটা <m>ফণী</m>
195,195,ফল,এটি একটি ফল,This is a fruit,2,এইটো এটা <m>ফল</m>
196,196,ফুল,এটি একটি ফুল,This is a flower,2,এইটো এটা <m>ফুল</m>
197,197,বঙ্গ,এটি বঙ্গ,This is Bengal,1,এইটো <m>বঙালী</m>
198,198,বাংলা,এটি বাংলা,This is Bengali,1,এইটো <m>বঙালী</m>
199,199,বাঙালি,সে একজন বাঙালি,He is a Bengali,2,তেওঁ এজন <m>বঙালী</m>
200,200,বাঙ্গালী,সে একজন বাঙ্গালী,He is a Bengali,2,তেওঁ এজন <m>বঙালী</m>
201,201,বস্তু,এটি একটি বস্তু,This is an object,2,এইটো এটা <m>বস্তু</m>
202,202,বহুত,এটি বহুত,This is a lot,1,এইটো <m>বহুত</m>
203,203,বা,এটি বা ওটি,This or that,1,এই টো <m>বা</m> সেইটো
204,204,বাঁশ,এটি বাঁশ,This is bamboo,1,এইটো <m>বাঁহ</m>
205,205,বাউল,সে একজন বাউল,He is a Baul,2,তেওঁ এজন <m>বলিয়া</m>   
206,206,বাউল,সে একজন বাউল,He is a Baul,2,তেওঁ এজন <m>বাউল</m>
207,207,বাঘ,এটি একটি বাঘ,This is a tiger,2,এইটো এটা <m>বাঘ</m>
208,208,ব্যাঘ্র,এটি একটি ব্যাঘ্র,This is a tiger,2,এইটো এটা <m>বাঘ</m>
209,209,বাজ,এটি বাজ,This is thunder,1,এইটো <m>বাজ</m>
210,210,বাজ,এটি বাজ,This is thunder,1,এইটো <m>বাজে</m>
211,211,বাট,এটি একটি বাট,This is a path,2,এইটো এটা <m>বাট</m>
212,212,বান,এটি একটি বান,This is a flood,2,এইটো এটা <m>বান</m>
213,213,বায়ু,এটি একটি বায়ু,This is a wind,2,এইটো এটা <m>বায়ু</m>
214,214,বাল,সে একজন বাল,This is a boy,2,এইটো এটা <m>বাল</m>
215,215,বিছা,এটি একটি বিছা,This is a scorpion,2,এইটো এটা <m>বিছা</m>
216,216,বিছা,এটি একটি বিছা,This is a scorpion,2,এইটো এটা <m>বৃশ্চিক</m>
217,217,বিজ্ঞান,এটি বিজ্ঞান,This is science,1,এইটো <m>বিজ্ঞান</m>
218,218,বিলাই,এটি একটি বিলাই,This is a cat,2,এইটো এটা <m>বিলাই</m>
219,219,বিলাই,এটি একটি বিলাই,This is a cat,2,এইটো এটা <m>বিলৈ</m>
220,220,বিষ,এটি একটি বিষ,This is a poison,2,এইটো এটা <m>বিষ</m>
221,221,বিষ,এটি একটি বিষ,This is a poison,2,এইটো এটা <m>বিহ</m>
222,222,বুদ্ধি,এটি বুদ্ধি,This is intelligence,1,এইটো <m>বুদ্ধি</m>
223,223,বুধবার,দিন বুধবার,The day is Wednesday,1,দিনটো <m>বুধবাৰ</m>
224,224,বেঁকা,এটি বেঁকা,This is bent,1,এইটো <m>বেঁকা</m>
225,225,বেল,এটি একটি বেল,This is a bael,2,এইটো এটা <m>বেল</m>
226,226,বোন,এটি একটি বেল,This is a bael,2,এইটো এটা <m>বৈনী</m>
227,227,বোন,এটি একটি বেল,This is a bael,2,এইটো এটা <m>ভনী</m>
228,228,ব্যবহার,এটি একটি ব্যবহার,This is a behavior,2,এইটো এটা <m>ব্যৱহাৰ</m>
229,229,ব্যাকরণ,এটি ব্যাকরণ,This is grammar,1,এইটো <m>ব্যাকৰণ</m>
230,230,ভইষ,এটি একটি ভইষ,This is a buffalo,2,এইটো এটা <m>ম'হ</m>
231,231,মহিষ,এটি একটি মহিষ,This is a buffalo,2,এইটো এটা <m>ম'হ</m>
232,232,ভয়,এটি ভয়,This is fear,1,এইটো <m>ভয়</m>
233,233,ভাই,সে একজন ভাই,He is a brother,2,তেওঁ এজন <m>ভাই</m>
234,234,ভাজা,এটি ভাজা,This is fried,1,এইটো <m>ভজা</m>
235,235,ভাজা,এটি ভাজা,This is fried,1,এইটো <m>ভাজা</m>
236,236,ভাত,এটি ভাত,This is rice,1,এইটো <m>ভাত</m>
237,237,ভাত,এটি ভাত,This is rice,1,এইটো <m>ভাত</m>
238,238,ভারত,এটি ভারত,This is India,1,এইখন <m>ভাৰত</m>
239,239,ভাল,এটি ভাল,This is good,1,এইটো <m>ভাল</m>
240,240,ভালুক,এটি একটি ভালুক,This is a bear,2,এইটো এটা <m>ভালুক</m>
241,241,ভাষা,এটি একটি ভাষা,This is a language,2,এইটো এটা <m>ভাষা</m>
242,242,মই,এটি একটি মই,This is a ladder,2,এইটো এটা <m>মই</m>
243,243,মকাই,এটি মকাই,This is maize,1,এইটো <m>মাকৈ</m>
244,244,মাহই,এটি মাহই,This is maize,1,এইটো <m>মাকৈ</m>
245,245,মঙ্গলবার,দিন মঙ্গলবার,The day is Tuesday,1,দিন মঙ্গলবার
246,246,ময়ূর,এটি একটি ময়ূর,This is a peacock,2,এইটো এটা <m>ময়ূৰ</m>
247,247,ময়ূর,এটি একটি ময়ূর,This is a peacock,2,এইটো এটা <m>মৈৰা</m>
248,248,মাংস,এটি মাংস,This is meat,1,এইটো <m>মঙহ</m>
249,249,মাংস,এটি মাংস,This is meat,1,এইটো <m>মাংস</m>
250,250,মাক্‌খি,এটি একটি মাক্‌খি,This is a fly,2,এইটো এটা <m>মাখি</m>
251,251,মাছ,এটি একটি মাছ,This is a fish,2,এইটো এটা <m>মাছ</m>
252,252,মাঝ,এটি মাঝ,This is the middle,1,এইটো <m>মাজ</m>
253,253,মাত,এটি একটি মাত,This is a speech,2,এইটো এটা <m>মাত</m>
254,254,মাতা,সে একজন মাতা,She is a mother,2,তেওঁ এজন <m>মাতা</m>
255,255,মিছা,এটি একটি মিছা,This is a lie,2,এইটো <m>মিছা</m>
256,256,মিঠা,এটি মিঠা,This is sweet,1,এইটো <m>মিঠা</m>
257,257,মিডা,এটি মিডা,This is sweet,1,এইটো <m>মিঠা</m>
258,258,মিষ্টি,এটি মিষ্টি,This is sweet,1,এইটো <m>মিঠা</m>
259,259,মু,এটি একটি মু,This is a face,2,এইটো এটা <m>মুহ</m>
260,260,মুখ,এটি একটি মুখ,This is a face,2,এইটো এটা <m>মুখ</m>
261,261,মুঠা,এটি একটি মুঠা,This is a fist,2,এইটো এটা <m>মুঠ</m>
262,262,মুঠা,এটি একটি মুঠা,This is a fist,2,এইটো এটা <m>মুঠা</m>
263,263,মুঠা,এটি একটি মুঠা,This is a fist,2,এইটো এটা <m>মুঠি</m>
264,264,মুঠি,এটি একটি মুঠি,This is a fist,2,এইটো এটা <m>মুঠ</m>
265,265,মুঠি,এটি একটি মুঠি,This is a fist,2,এইটো এটা <m>মুঠা</m>
266,266,মুঠি,এটি একটি মুঠি,This is a fist,2,এইটো এটা <m>মুঠি</m>
267,267,মুঠো,এটি একটি মুঠো,This is a fist,2,এইটো এটা <m>মুঠ</m>
268,268,মুঠো,এটি একটি মুঠো,This is a fist,2,এইটো এটা <m>মুঠা</m>
269,269,মুঠো,এটি একটি মুঠো,This is a fist,2,এইটো এটা <m>মুঠি</m>
270,270,মূত্র,এটি মূত্র,This is urine,1,এইটো <m>মূত</m>
271,271,মূল,এটি মূল,This is the root,1,এইটো <m>মূলা</m>
272,272,মৃত্যু,এটি একটি মৃত্যু,This is a death,2,এইটো এটা <m>মৃত্যু</m>
273,273,মেঘ,এটি একটি মেঘ,This is a cloud,2,এইটো এটা <m>মেঘ</m>
274,274,মেয়ে,সে একজন মেয়ে,She is a girl,2,তেওঁ এজন <m>মাই</m>
275,275,মৈ,এটি একটি মৈ,This is a ladder,2,এইটো এটা <m>মৈ</m>
276,276,যুদ্ধ,এটি একটি যুদ্ধ,This is a war,2,এইখন এখন <m>যুদ্ধ</m>
277,277,যোনি,এটি একটি যোনি,This is a vagina,2,এইখন এখন <m>যোনি</m>
278,278,রং,এটি একটি রং,This is a color,2,এইটো এটা <m>ৰঙা</m>
279,279,রং,এটি একটি রং,This is a color,2,এইটো এটা <m>ৰাং</m>
280,280,রঙ,এটি একটি রঙ,This is a color,2,এইটো এটা <m>ৰঙা</m>
281,281,রঙ,এটি একটি রঙ,This is a color,2,এইটো এটা <m>ৰাং</m>
282,282,রাং,এটি রাং,This is tin,1,এইটো <m>ৰঙা</m>
283,283,রাং,এটি রাং,This is tin,1,এইটো <m>ৰাং</m>
284,284,রউন,এটি রউন,This is garlic,1,এইটো <m>লহুন</m>
285,285,রসুন,এটি রসুন,This is garlic,1,এইটো <m>লহুন</m>
286,286,রচনা,এটি একটি রচনা,This is a composition,2,এইখন এখন <m>ৰচনা</m>
287,287,রবিবার,দিন রবিবার,The day is Sunday,1,দিনটো  <m>ৰবিবাৰ</m>
288,288,রাষ্ট্র,এটি একটি রাষ্ট্র,This is a nation,2,এইখন এখন <m>ৰাষ্ট্ৰ</m>
289,289,লবণ,এটি লবণ,This is salt,1,এইটো <m>লোণ</m>
290,290,লাউ,এটি লাউ,This is calabash,1,এইটো <m>লাউ</m>
291,291,লাউ,এটি লাউ,This is calabash,1,এইটো <m>লাও</m>
292,292,লাখ,এটি একটি লাখ,This is a lakh,2,এইটো এটা <m>লাখ</m>
293,293,লাজ,এটি লাজ,This is shame,1,এইটো <m>লাজ</m>
294,294,লিপি,এটি একটি লিপি,This is a writing,2,এইটো এটা <m>লিপি</m>
295,295,শনিবার,দিন শনিবার,The day is Saturday,1,দিনটো শনিবাৰ
296,296,শব্দ,এটি একটি শব্দ,This is a word,2,এইটো এটা <m>শব্দ</m>
297,297,শাওন,মাস শাওন,The month is Shraavana,1,<m>শাওন</m> মাহ
298,298,শিক্ষা,এটি শিক্ষা,This is learning,1,এইটো <m>শিকোৱা</m>
