Bengali,Example Sentence,Translation
নখ,এটি একটি,This is a nail
নগর,এটি একটি,This is a city
নতুন,এটি নতুন,This is new
নদী,এটি একটি নদী,This is a river
নাই,এটি একটি নাই,This is a boat
নাও,এটি একটি নাও,This is a boat
নাম,এটি একটি নাম,This is a name
নীল,এটি নীল,This is blue
নীহারিকা,এটি একটি নীহারিকা,This is a nebula
পদ্ম,এটি একটি পদ্ম,This is a lotus
পশু,এটি একটি পশু,This is an animal
পাঁচ,এটি একটি পাঁচ,This is a five
পাখ,এটি একটি পাখ,This is a wing
পাখা,এটি একটি পাখা,This is a wing
পাখি,এটি একটি পাখি,This is a bird
পাণ,এটি একটি পাণ,This is a betel leaf
পাতা,এটি একটি পাতা,This is a leaf
পানি,এটি পানি,This is water
পানীয়,এটি পানীয়,This is drinkable
পায়স,এটি পায়স,This is kheer
পিতা,সে একজন পিতা,He is a father
পিন্ধা,সে পিন্ধে,He wears
পিন্ধা,সে পিন্ধে,He wears
পুত,সে একজন পুত,He is a son
পুরুষ,সে একজন পুরুষ,He is a man
পুষ্প,এটি একটি পুষ্প,This is a flower
পুস্তক,এটি একটি পুস্তক,This is a book
পেঁচা,এটি একটি পেঁচা,This is an owl
পো,সে একজন পো,He is a son
পোলা,সে একজন পোলা,He is a boy 
পোলা,সে একজন পোলা,He is a boy 
পোলা,সে একজন পোলা,He is a boy 
পোষ,মাস পোষ,The month is Pausha
প্রাচীন,এটি প্রাচীন,This is old
ফণী,এটি একটি ফণী,This is a snake
ফল,এটি একটি ফল,This is a fruit
ফুল,এটি একটি ফুল,This is a flower
বঙ্গ,এটি বঙ্গ,This is Bengal
বাংলা,এটি বাংলা,This is Bengali
বাঙালি,সে একজন বাঙালি,He is a Bengali
বাঙ্গালী,সে একজন বাঙ্গালী,He is a Bengali
বস্তু,এটি একটি বস্তু,This is an object
বহুত,এটি বহুত,This is a lot
বা,এটি বা ওটি,This or that
বাঁশ,এটি বাঁশ,This is bamboo
বাউল,সে একজন বাউল,He is a Baul
বাউল,সে একজন বাউল,He is a Baul
বাঘ,এটি একটি বাঘ,This is a tiger
ব্যাঘ্র,এটি একটি ব্যাঘ্র,This is a tiger
বাজ,এটি বাজ,This is thunder
বাজ,এটি বাজ,This is thunder
বাট,এটি একটি বাট,This is a path
বান,এটি একটি বান,This is a flood
বায়ু,এটি একটি বায়ু,This is a wind
বাল,সে একজন বাল,This is a boy
বিছা,এটি একটি বিছা,This is a scorpion
বিছা,এটি একটি বিছা,This is a scorpion
বিজ্ঞান,এটি বিজ্ঞান,This is science
বিলাই,এটি একটি বিলাই,This is a cat
বিলাই,এটি একটি বিলাই,This is a cat
বিষ,এটি একটি বিষ,This is a poison
বিষ,এটি একটি বিষ,This is a poison
বুদ্ধি,এটি বুদ্ধি,This is intelligence
বুধবার,দিন বুধবার,The day is Wednesday
বেঁকা,এটি বেঁকা,This is bent
বেল,এটি একটি বেল,This is a bael
বোন,এটি একটি বেল,This is a bael
বোন,এটি একটি বেল,This is a bael
ব্যবহার,এটি একটি ব্যবহার,This is a behavior
ব্যাকরণ,এটি ব্যাকরণ,This is grammar
ভইষ,এটি একটি ভইষ,This is a buffalo
মহিষ,এটি একটি মহিষ,This is a buffalo
ভয়,এটি ভয়,This is fear
ভাই,সে একজন ভাই,He is a brother
ভাজা,এটি ভাজা,This is fried
ভাজা,এটি ভাজা,This is fried
ভাত,এটি ভাত,This is rice
ভাত,এটি ভাত,This is rice
ভারত,এটি ভারত,This is India
ভাল,এটি ভাল,This is good
ভালুক,এটি একটি ভালুক,This is a bear
ভাষা,এটি একটি ভাষা,This is a language
মই,এটি একটি মই,This is a ladder
মকাই,এটি মকাই,This is maize
মাহই,এটি মকাই,This is maize
মঙ্গলবার,দিন মঙ্গলবার,The day is Tuesday
ময়ূর,এটি একটি ময়ূর,This is a peacock
ময়ূর,এটি একটি ময়ূর,This is a peacock
মাংস,এটি মাংস,This is meat
মাংস,এটি মাংস,This is meat
মাক্‌খি,এটি একটি মাক্‌খি,This is a fly
মাছ,এটি একটি মাছ,This is a fish
মাঝ,এটি মাঝ,This is the middle
মাত,এটি একটি মাত,This is a speech
মাতা,সে একজন মাতা,She is a mother
মিছা,এটি একটি মিছা,This is a lie
মিঠা,এটি মিঠা,This is sweet
মিডা,এটি মিডা,This is sweet
মিষ্টি,এটি মিষ্টি,This is sweet
মু,এটি একটি মু,This is a face
মুখ,এটি একটি মুখ,This is a face
মুঠা,এটি একটি মুঠা,This is a fist
মুঠা,এটি একটি মুঠা,This is a fist
মুঠা,এটি একটি মুঠা,This is a fist
মুঠি,এটি একটি মুঠি,This is a fist
মুঠি,এটি একটি মুঠি,This is a fist
মুঠি,এটি একটি মুঠি,This is a fist
মুঠো,এটি একটি মুঠো,This is a fist
মুঠো,এটি একটি মুঠো,This is a fist
মুঠো,এটি একটি মুঠো,This is a fist
মূত্র,এটি মূত্র,This is urine
মূল,এটি মূল,This is the root
মৃত্যু,এটি একটি মৃত্যু,This is a death
মেঘ,এটি একটি মেঘ,This is a cloud
মেয়ে,সে একজন মেয়ে,She is a girl
মৈ,এটি একটি মৈ,This is a ladder
যুদ্ধ,এটি একটি যুদ্ধ,This is a war
যোনি,এটি একটি যোনি,This is a vagina
রং,এটি একটি রং,This is a color
রং,এটি একটি রং,This is a color
রঙ,এটি একটি রঙ,This is a color
রঙ,এটি একটি রঙ,This is a color
রাং,এটি রাং,This is tin
রাং,এটি রাং,This is tin
রউন,এটি রউন,This is garlic
রসুন,এটি রসুন,This is garlic
রচনা,এটি একটি রচনা,This is a composition
রবিবার,দিন রবিবার,The day is Sunday
রাষ্ট্র,এটি একটি রাষ্ট্র,This is a nation
লবণ,এটি লবণ,This is salt
লাউ,এটি লাউ,This is calabash
লাউ,এটি লাউ,This is calabash
লাখ,এটি একটি লাখ,This is a lakh
লাজ,এটি লাজ,This is shame
লিপি,এটি একটি লিপি,This is a writing
শনিবার,দিন শনিবার,The day is Saturday
শব্দ,এটি একটি শব্দ,This is a word
শাওন,মাস শাওন,The month is Shraavana
শিক্ষা,এটি শিক্ষা,This is learning
শিক্ষা,এটি শিক্ষা,This is learning
শিক্ষা,এটি শিক্ষা,This is learning
শিল,এটি একটি শিল,This is a stone
শুখা,এটি শুখা,This is dry
শূন্য,এটি শূন্য,This is empty
শেখা,সে শেখে,He learns
শৈবাল,এটি শৈবাল,This is algae
শ্রী,শ্রী রাম এখানে আছেন,Mr. Ram is here
শ্রীবৃক্ষ,এটি একটি শ্রীবৃক্ষ,This is a bael fruit tree
সকল,এটি সকল,This is all
হক্কল,এটি হক্কল,This is all
হগল,এটি হগল,This is all
সন্ধ্যা,এটি একটি সন্ধ্যা,This is an evening
সাঁঝ,এটি একটি সাঁঝ,This is an evening
সময়,এটি সময়,This is time 
সমান,এটি সমান, This is the same
সমানে,সমানে করলাম,I did it ceaselessly
হমান,এটি হমান,This is the same
সর্প,এটি একটি সর্প,This is a snake
সাপ,এটি একটি সাপ,This is a snake
সহা,সে সহে,He tolerates
সাঁকো,এটি একটি সাঁকো,This is a bamboo bridge
সাঁচা,এটি সাঁচা,This is true
সাঁচা,এটি সাঁচা,This is true
সাগর,এটি একটি সাগর,This is a sea
হাওর,এটি একটি হাওর,This is a waterlogged expanse
সাত,এটি একটি সাত,This is a seven
সিংহ,এটি একটি সিংহ,This is a lion
সোমবার,দিন সোমবার,The day is Monday
স্বাধীনতা,এটি স্বাধীনতা,This is freedom
হাচা,এটি হাচা,This is true
হাট,এটি একটি হাট,This is a market
হাট,এটি একটি হাট,This is a market
হাত,এটি একটি হাত,This is a hand
হামি,এ হামি,This is me
হাল,এটি একটি হাল, This is a situation
হিংসা,এটি হিংসা,This is jealousy
হিম,এটি হিম,This is winter
হিয়া,এটি একটি হিয়া,This is a heart
হৃদয়,এটি একটি হৃদয়,This is a heart
