,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
320,दौलतमंद,دولتمند,dɔːltəməndə,dvltmnd,rich,Rich man,0.4545454545454545,0.4,0.3041666666666667,0.3416666666666667,3.025,0.3354166666666667,7,-6.4913583,0.8757759,0.3138067,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
366,जायज़,جائز,d͡ʒaːjəz,d͡ʒɒjʔz,justified,Valid,0.375,0.2,0.075,0.0833333333333333,1.175,0.075,5,-5.287423,0.87084717,0.5032081,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
378,आफ़त,آفت,aːfət,ɒft,disaster,آفت,0.6,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,-4.5576763,0.8622546999999998,0.32657802,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
404,अंदर,اندر,ndər,ɒndr,Inside,Inside out,0.5,0.5,0.1979166666666666,0.2291666666666666,3.625,0.1979166666666666,4,-10.112427,0.8243798000000001,0.7509558000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
406,पीरू,پیل مرغ,piːruː,pjl mrɣ,Piru,Chicken pole,0.8571428571428571,0.6666666666666666,0.3715277777777777,0.4166666666666667,4.208333333333333,0.4027777777777777,7,-11.194757000000001,0.5479137,0.66796833,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
410,कद्दू,کدو,kədduː,kdv,pumpkin,Squash,0.6666666666666666,0.6,0.3916666666666667,0.4416666666666666,3.35,0.4333333333333334,5,-1.1406825,0.92513144,0.546141,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
411,रिआया,رعایا,riaːjaː,rʔɒjɒ,Riya,People,0.7142857142857143,0.2,0.1,0.1083333333333333,1.475,0.1,5,-4.3914733,0.8836415999999999,0.6017064999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
467,furtive,furtif,ˈfərtɪv,fyʀtif,furtive,stealth,0.7142857142857143,0.0,0.0763888888888889,0.0902777777777777,0.7708333333333334,0.0763888888888889,2,-1.2953868,0.85474837,0.77267015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
483,interventionist,interventionniste,ˌɪntərˈvɛnʃənɪst,ɛ̃tɛʀvɑ̃sjɔnist,interventionist,interventionist,0.75,0.2142857142857142,0.1339285714285714,0.1488095238095237,1.6071428571428572,0.1398809523809524,2,-15.309366,0.7965656999999999,0.6592989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
485,homolog,homologue,homolog*,ɔmɔlɔɡ,homolog,homologue,0.75,0.3333333333333333,0.3055555555555555,0.3541666666666667,2.5416666666666665,0.3055555555555555,2,-2.582112,0.9062836,0.7753703000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
486,hydraulic,hydraulique,haɪˈdrɔlɪk,idʀolik,hydraulic,hydraulic,0.7,0.2222222222222222,0.2314814814814814,0.2638888888888888,1.9027777777777777,0.2546296296296295,3,-4.636985,0.8073503000000001,0.8020393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
507,exergue,exergue,exergue*,əɡzɛʀɡ,epigraph,epigraph,1.0,0.5,0.2048611111111111,0.2569444444444444,4.479166666666667,0.2048611111111111,0,-1.5309165,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
523,lacert,lacerte,lacert*,lazɛʀt,lizard,lizard,0.5714285714285714,0.1666666666666666,0.0729166666666666,0.0902777777777777,0.8333333333333334,0.0729166666666666,1,-3.6005892999999998,0.9362326999999999,0.67037934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
540,bouts-rimés,bout,bouts-rimés*,bu,bouts-rimés,bout,0.8333333333333334,0.7777777777777778,0.7166666666666666,0.8,5.8,0.8,7,-2.3013763,0.8814915999999999,0.53554875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
551,questionnaire,questionnaire,kˌwɛsʧəˈnɛr,kɛssjɔnɛʀ,questionnaire,questionnaire,0.5454545454545454,0.3333333333333333,0.1805555555555555,0.2129629629629629,2.3611111111111107,0.1921296296296296,0,-7.0545893,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
586,pièce d'occasion,pièce d'occasion,pièce* d'occasion*,pjə̀sə d'ɔkkasjɔ̃,used part,used part,0.6666666666666666,0.4615384615384615,0.1175595238095238,0.1309523809523809,1.2946428571428572,0.1235119047619047,0,-7.245949700000001,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
589,existentialism,existentialisme,existentialism*,əɡzistɑ̃sjalism,existentialism,existentialism,0.5333333333333333,0.2142857142857142,0.1116071428571428,0.1339285714285714,1.5446428571428572,0.1116071428571428,1,-7.2689767000000005,0.92966735,0.9622169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
610,pourpointing,pourpointerie,pourpointing*,puʀpɔɛ̃təʀi,pourpointing,pourpointerie,0.6923076923076923,0.3636363636363636,0.2045454545454545,0.2386363636363636,2.7045454545454546,0.2140151515151515,4,-0.43350428,0.95296526,0.8566393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
616,Haury,Haury,ˈhɔri,oʀi,Haury,Haury,0.8,0.25,0.2760416666666667,0.3229166666666667,2.34375,0.3020833333333333,0,-3.833358,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
621,prepose,préposer,prepose*,pʀepɔzəʀ,prepose,prescribe,0.625,0.125,0.1510416666666666,0.1770833333333333,1.296875,0.1666666666666666,2,-3.5851282999999996,0.6364107,0.77212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
624,Béjaïa,Béjaïa,béjaïa*,beʒaia,Bejaia,Bejaia,0.5714285714285714,0.5,0.03125,0.0347222222222222,0.8541666666666666,0.03125,0,-3.8101954,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
633,solenoid,solénoïde,solenoid*,sɔlenoid,solenoid,solenoid,0.2222222222222222,0.0,0.0052083333333333,0.0052083333333333,0.03125,0.0052083333333333,3,-6.6917089999999995,0.90151,0.7649604999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
640,Bruley,Bruley,ˈbruli,bʀyləj,Bruley,Bruley,0.8333333333333334,0.1666666666666666,0.1979166666666666,0.2361111111111111,1.8125,0.2152777777777777,0,-3.3618379999999997,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
696,cineast,cinéaste,cineast*,sineast,cinematographer,filmmaker,0.25,0.1428571428571428,0.0267857142857142,0.0297619047619047,0.375,0.0267857142857142,2,-6.673849000000001,0.7849885999999999,0.57120603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
706,acclimate,acclimater,ˈækləˌmeɪt,akklimatəʀ,acclimate,acclimate,0.8,0.3,0.2354166666666667,0.2583333333333334,2.2375,0.2541666666666667,1,-3.8345559999999996,0.8900379,0.8309356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
745,point d'appui,point d'appui,pɔɪnt d'appui*,pɔɛ̃t d'apɥi,fulcrum,fulcrum,0.3571428571428571,0.2727272727272727,0.1837121212121212,0.2045454545454545,1.6818181818181819,0.2007575757575757,0,-5.537303400000001,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
756,centrifuge,centrifuge,ˈsɛntrəfˌjuʤ,sɑ̃tʀifyʒ,centrifuge,centrifuge,0.75,0.3333333333333333,0.2175925925925926,0.25,2.75,0.2268518518518519,0,-6.279195,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
774,beau sabreur,beau,boʊ sabreur*,bo,handsome swordsman,beau,0.8333333333333334,0.8,0.7062499999999999,0.8,5.8,0.8,8,-0.84736234,0.8584305,0.7327064999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
776,avertissement nucléaire,avertissement nucléaire,avertissement* nucléaire*,avɛʀtisəmɑ̃t nykleɛʀ,nuclear warning,nuclear warning,0.6,0.1904761904761904,0.1979166666666666,0.2253787878787879,1.6931818181818181,0.2168560606060605,0,-64.38675,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
788,lucerne,luzerne,ˈlusərn,lyzɛʀn,lucerne,luzerne,0.7142857142857143,0.0,0.0486111111111111,0.0625,0.5208333333333334,0.0486111111111111,1,-4.212141,0.9253726000000001,0.9113464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
806,dégagé,dégagé,dégagé*é,deɡaʒe,clear,clear,0.75,0.6666666666666666,0.1875,0.2152777777777778,2.375,0.2048611111111111,0,-2.9748167999999997,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
831,hydrate,hydrate,ˈhaɪˌdreɪt,idʀat,hydrate,hydrate,0.8,0.375,0.3671875,0.4166666666666666,3.046875,0.4062499999999999,0,-5.433984,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
847,cham,cham,ʧæm,ʃɑ̃,cham,cham,1.0,1.0,0.3125,0.375,7.4375,0.3125,0,-0.18966244,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
893,revolt,révolter,rɪˈvoʊlt,ʀevɔltəʀ,revolt,revolt,0.875,0.375,0.25,0.2864583333333333,3.078125,0.2630208333333333,3,-2.7039204,0.7148583000000001,0.3881323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
895,gutter rabbit,lapin de gouttière,ˈgətər ˈræbɪt,lapin də ɡutjə̀ʀ,gutter rabbit,gutter rabbit,0.9375,0.6153846153846154,0.3637820512820513,0.4102564102564102,3.3942307692307687,0.3958333333333333,16,-12.486521,0.7565039000000001,0.7217975999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
898,mirabelle plum,mirabelle,ˈmɪrəˌbɛl pləm,miʀabɛl,mirabelle plum,mirabelle plum,0.7142857142857143,0.3636363636363636,0.3579545454545454,0.4015151515151515,2.9431818181818183,0.3939393939393939,5,-3.7810998,0.9096584999999999,0.78678083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
904,chant royal,chant royal,ʧænt rɔɪəl,ʃɑ̃t ʀwajal,chant royal,chant royal,0.7272727272727273,0.4444444444444444,0.2314814814814814,0.2685185185185185,2.986111111111111,0.2430555555555555,0,-4.6215215,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
928,ammunition,amunition,ˌæmjəˈnɪʃən,amynisjɔ̃,ammunition,ammunition,0.9090909090909092,0.3333333333333333,0.1851851851851852,0.2129629629629629,2.3194444444444446,0.1967592592592592,1,-5.21414,0.24628964,0.5753261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
931,de Havilland,de Havilland,də ˈhævələnd,də avijɑ̃,de Havilland,de Havilland,0.6666666666666666,0.3,0.3229166666666666,0.3541666666666667,2.8625,0.35,0,-6.5063424,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
936,punt,pointe,pənt,pɔɛ̃t,punt,pointe,0.6,0.25,0.0677083333333333,0.0833333333333333,1.625,0.0677083333333333,3,-5.621975,0.8086215,0.5888791,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
948,currant,raisin de Corinthe,currant*,ʀɛzin də kɔʀɛ̃t,currant,currant,1.0,0.75,0.4565972222222222,0.5243055555555556,4.3125,0.5034722222222222,15,-21.510817000000003,0.8654743,0.6649811999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
956,saker,sacre,ˈseɪkər,sakʀ,cases,sacre,0.7142857142857143,0.3333333333333333,0.3194444444444444,0.375,2.8125,0.3645833333333333,3,-1.7631153999999998,0.68385196,0.6840239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
977,acetylene,acétylène,əˈsɛtəˌlin,azetilə̀n,acetylene,acetylene,0.8,0.0,0.0572916666666666,0.0572916666666666,0.53125,0.0572916666666666,2,-7.1274395,0.9164583000000001,0.6188047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
987,cereal,céréale,ˈsɪriəl,seʀeal,cereal,cereal,0.7142857142857143,0.0,0.0694444444444444,0.0833333333333333,0.7291666666666666,0.0694444444444444,3,-2.9069857999999997,0.7642741999999999,0.8214323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
995,defrock,défroquer,defrock*,defʀɔkəʀ,defrock,defroquer,0.625,0.375,0.1666666666666666,0.1927083333333333,1.734375,0.1796875,5,-1.6676893,0.7293525,0.6983022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1048,exigence,exigence,exigence*,əɡziʒɑ̃s,requirement,requirement,1.0,0.5714285714285714,0.1994047619047619,0.2261904761904762,4.089285714285714,0.1994047619047619,0,-0.6685321,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1051,preliminary,préliminaire,prɪˈlɪməˌnɛri,pʀeliminɛʀ,preliminary,preliminary,0.6153846153846154,0.0909090909090909,0.134469696969697,0.1590909090909091,1.2045454545454546,0.1439393939393939,3,-2.6455717,0.6271504,0.6377176999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1154,architecture,architecture,ˈɑrkəˌtɛkʧər,aʀʃitɛktyʀ,architecture,architecture,0.75,0.2,0.1833333333333333,0.2125,1.7875,0.1916666666666666,0,-4.532875,0.73940057,0.7945374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1161,grogram,gros-grain,grogram*,ɡʀɔs-ɡʀɛ̃,grogram,large grain,1.0,0.5714285714285714,0.3720238095238096,0.4404761904761905,4.482142857142857,0.4017857142857143,4,-2.2812238,0.76220447,0.6662664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1168,endocrinology,endocrinologie,ˌɛndoʊkrəˈnɑləʤi,ɑ̃dɔkʀinɔlɔʒi,endocrinology,endocrinology,0.6875,0.2307692307692307,0.2323717948717948,0.266025641025641,2.2403846153846154,0.2403846153846154,2,-5.9228373,0.90053546,0.502921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1173,Philippot,Philippot,philippot*,filipo,Philippot,Philippot,0.5,0.3333333333333333,0.3078703703703704,0.3425925925925925,2.5416666666666665,0.3402777777777778,0,-4.5703144,0.8501340000000001,0.55079526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1199,acquiescence,acquiescence,ˌækwiˈɛsəns,akkjəsɑ̃s,acquiescence,acquiescence,0.7272727272727273,0.3333333333333333,0.1597222222222222,0.1759259259259259,1.9861111111111112,0.1689814814814815,0,-4.0832534,0.76924884,0.78087103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1202,secret of Polichinelle,secret de Polichinelle,ˈsikrɪt əv polichinelle*,sɛkʀət də pɔliʃinɛl,open secret,open secret,0.5416666666666666,0.3,0.190625,0.2166666666666667,2.125,0.2052083333333333,2,-37.52883,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1247,attack,attaque,əˈtæk,atak,attack,offensive,0.6,0.0,0.03125,0.03125,0.3125,0.03125,3,-1.2678691999999998,0.80521095,0.78425765,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1252,phenol,phène,ˈfɛnəl,fə̀n,phenol,phene,0.8333333333333334,0.4,0.3708333333333333,0.4083333333333334,3.0,0.4083333333333334,3,-1.5342624,0.8806514999999999,0.8007303000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1285,chronique scandaleuse,chronique scandaleuse,chronique* scandaleuse*,ʃʀɔnikə skɑ̃dalœz,scandalous chronicle,scandalous chronicle,0.6956521739130435,0.35,0.25625,0.2875,2.18125,0.284375,0,-25.815147,0.7867647,0.76732177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1294,course landaise,course,kɔrs landaise*,kuʀs,Landes course,course,0.8571428571428571,0.6666666666666666,0.6249999999999999,0.6979166666666666,5.09375,0.6909722222222222,9,-10.474617,0.64281154,0.7433273,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1301,abat-voix,abat-voix,abat-voix*,abat-vwa,sounding board,sounding board,0.4,0.25,0.1432291666666666,0.1614583333333333,1.453125,0.15625,0,-4.6218414,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1306,chadon beni,chardon béni,chadon* ˈbɛni,ʃaʀdɔn beni,chadon me,blessed thistle,0.5384615384615384,0.3,0.0666666666666666,0.0791666666666666,1.3375,0.0666666666666666,2,-4.4846687,0.8122794,0.7792614000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1317,glacé,glacé,glacé*é,ɡlaze,ice,ice,0.7142857142857143,0.6,0.2291666666666666,0.2666666666666666,3.475,0.2291666666666666,0,-3.2945057999999996,0.9030402,0.791215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1319,maniac,maniaque,ˈmeɪniˌæk,mɑ̃jak,maniac,maniacal,0.7777777777777778,0.4285714285714285,0.2916666666666666,0.3273809523809524,2.6607142857142856,0.3184523809523809,3,-3.4922313999999997,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1324,yé-yé,yéyé,yé-yé*é,ieie,yé-yé,yeye,1.0,0.5,0.2041666666666667,0.225,1.75,0.225,1,-2.6260715,0.70143735,0.7316326999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1355,vehicle,véhicule,ˈviɪkəl,veikyl,vehicle,vehicle,0.5714285714285714,0.0,0.0486111111111111,0.0486111111111111,0.5,0.0486111111111111,2,-2.234034,0.9387366,0.75019735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1398,epilepsy,épilepsie,ˈɛpɪˌlɛpsi,epilɛpsi,epilepsy,epilepsy,0.4,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,3,-4.9334598,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1414,Harle,Harlé,ˈhɑrəl,aʀle,Harley,harassed,1.0,0.6,0.3,0.35,3.9,0.3166666666666667,1,-4.8712883,0.8963398000000001,0.8228625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1462,vancourier,avant-courier,vancourier*,avɑ̃t-kuʀjəʀ,vancourier,forerunner,0.9166666666666666,0.5,0.1854166666666666,0.2333333333333333,2.5875,0.1854166666666666,3,-7.160717,0.864369,0.78569156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1522,teleocracy,télécratie,teleocracy*,telekʀati,teleocracy,telecracy,0.5454545454545454,0.3,0.1333333333333333,0.1541666666666666,1.225,0.14375,6,-3.0095925,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1526,agglutination,agglutination,agglutination*,aɡɡlytinasjɔ̃,agglutination,agglutination,0.5714285714285714,0.3333333333333333,0.2256944444444444,0.2465277777777777,2.1979166666666665,0.2326388888888888,0,-7.180656,0.7989989000000001,0.37768084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1589,pain aux raisins,pain aux raisins,peɪn oʊ ˈreɪzɪnz,pɛn oks ʀɛzɛ̃,raisin bread,raisin bread,0.6875,0.4615384615384615,0.2724358974358974,0.3076923076923077,3.0769230769230766,0.2932692307692308,0,-3.4980754999999997,0.86198395,0.53268063,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1601,deplace,déplacer,deplace*,deplazəʀ,moved,move,0.375,0.25,0.1484375,0.1666666666666666,1.359375,0.1640625,2,-2.4680347,0.8325636000000001,0.7809297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1604,cinema,cinéma,ˈsɪnəmə,sinema,cinema,movie theater,0.5714285714285714,0.0,0.0416666666666666,0.0416666666666666,0.375,0.0416666666666666,1,-3.2534218,0.65898496,0.821839,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
