loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
aforyzm,affairisme,afɔrɨzm,afɛʀism,aphorism,busyness,0.5714285714285714,0.0,0.0476190476190476,0.0595238095238095,0.5178571428571429,0.0476190476190476,6,Latin,Latin,hard_negative
afront,abonné,afrɔnt,abɔne,affront,subscriber,0.5,0.3333333333333333,0.2083333333333333,0.25,2.8125,0.2361111111111111,4,Latin,Latin,hard_negative
afta,tafia,afta,tafja,capable,i wish,0.4,0.4,0.2458333333333333,0.2666666666666666,2.825,0.2625,2,Latin,Latin,hard_negative
agent,achaine,aɡɛnt,aʃɛn,agent,achaine,0.4,0.4,0.2291666666666666,0.25,2.025,0.2458333333333333,5,Latin,Latin,hard_negative
aglomeracja,agglomératif,aɡlɔmɛrat͡sja,aɡɡlɔmeʀatif,agglomeration,agglomerative,0.5384615384615384,0.3333333333333333,0.1284722222222222,0.1527777777777778,1.6666666666666667,0.1371527777777778,5,Latin,Latin,hard_negative
aglomerat,agglomératif,aɡlɔmɛrat,aɡɡlɔmeʀatif,crowded,agglomerative,0.4166666666666667,0.25,0.2430555555555555,0.2743055555555556,1.9895833333333333,0.2673611111111111,4,Latin,Latin,hard_negative
agresja,aluminiage,aɡrɛsja,alymɛ̃jaʒ,aggression,aluminiage,0.5555555555555556,0.5,0.2682291666666667,0.3125,3.734375,0.2786458333333333,8,Latin,Latin,hard_negative
agresor,asbestose,aɡrɛsɔr,asbɛstɔz,aggressor,asbestosis,0.5,0.5,0.1979166666666666,0.234375,2.34375,0.2083333333333333,5,Latin,Latin,hard_negative
agresywny,agressivité,aɡrɛsɨvnɨ,aɡʀɛsivite,aggressive,aggressiveness,0.5,0.2,0.13125,0.15,1.3375,0.1416666666666666,6,Latin,Latin,hard_negative
akolada,acolytat,akɔlada,akɔljta,brace,acolytat,0.2857142857142857,0.1428571428571428,0.0297619047619047,0.0357142857142857,0.5178571428571429,0.0297619047619047,4,Latin,Latin,hard_negative
akolitat,écoclimatique,akɔlitat,ekɔklimatik,akolitat,ecoclimatic,0.4545454545454545,0.3636363636363636,0.268939393939394,0.2992424242424242,2.3068181818181817,0.2973484848484848,8,Latin,Latin,hard_negative
akord,acte,akɔrt,akt,chord,act,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,4,Latin,Latin,hard_negative
akordeon,acotylédone,akɔrdɛɔn,akɔtiledɔn,accordion,acotylédone,0.5,0.4,0.21875,0.2458333333333333,2.25,0.2375,7,Latin,Latin,hard_negative
akordeonista,accordiste,akɔrdɛɔɲista,akkɔʀdist,accordionist,accordiste,0.5,0.4166666666666667,0.2795138888888889,0.3194444444444445,2.864583333333333,0.3107638888888889,6,Latin,Latin,hard_negative
akredytować,acceptatif,akrɛdɨtɔvat͡ɕ,aksɛptatif,accredit,accepting,0.5384615384615384,0.3636363636363636,0.178030303030303,0.2045454545454545,1.8977272727272727,0.1875,8,Latin,Latin,hard_negative
akredytywa,acolytat,akrɛdɨtɨva,akɔljta,letter of credit,acolytat,0.6,0.5,0.2979166666666666,0.3375,2.9125,0.3333333333333333,7,Latin,Latin,hard_negative
akrobacja,acrobate,akrɔbat͡sja,akʀɔbat,acrobatics,acrobat,0.4545454545454545,0.3333333333333333,0.2222222222222222,0.2546296296296296,1.875,0.2453703703703703,4,Latin,Latin,hard_negative
akrobata,acolytat,akrɔbata,akɔljta,acrobat,acolytat,0.375,0.375,0.1536458333333333,0.1822916666666666,1.90625,0.1744791666666666,5,Latin,Latin,hard_negative
aktualizacja,actualisable,aktualizat͡sja,aktɥalizabl,update,actualisable,0.4285714285714285,0.25,0.1197916666666666,0.1354166666666666,1.3541666666666667,0.1284722222222222,5,Latin,Latin,hard_negative
aktualizować,actualisable,aktualizɔvat͡ɕ,aktɥalizabl,update,actualisable,0.4285714285714285,0.25,0.1284722222222222,0.1458333333333333,1.5520833333333333,0.1354166666666666,6,Latin,Latin,hard_negative
aktywacja,acclimatation,aktɨvat͡sja,akklimatasjɔ̃,activation,acclimatization,0.5384615384615384,0.5,0.2760416666666667,0.3020833333333333,2.552083333333333,0.3003472222222222,11,Latin,Latin,hard_negative
aktywować,acrobate,aktɨvɔvat͡ɕ,akʀɔbat,activate,acrobat,0.5454545454545454,0.4444444444444444,0.2499999999999999,0.2777777777777778,2.361111111111111,0.2685185185185185,7,Latin,Latin,hard_negative
akumulacja,acclimatation,akumulat͡sja,akklimatasjɔ̃,accumulation,acclimatization,0.5384615384615384,0.3333333333333333,0.2170138888888889,0.2326388888888889,2.1666666666666665,0.2326388888888889,10,Latin,Latin,hard_negative
akuszer,aquagym,akuʂɛr,akaʒɛ̃,battery,aquagym,0.5,0.1666666666666666,0.1944444444444444,0.2222222222222222,1.7916666666666667,0.2222222222222222,5,Latin,Latin,hard_negative
akwizycja,acclimatation,akfizɨt͡sja,akklimatasjɔ̃,acquisition,acclimatization,0.5384615384615384,0.4166666666666667,0.2864583333333333,0.3125,2.614583333333333,0.3107638888888889,11,Latin,Latin,hard_negative
alanina,alevinage,alaɲina,aləvinaʒ,alanine,alevinage,0.375,0.25,0.1640625,0.1770833333333333,1.703125,0.1744791666666666,4,Latin,Latin,hard_negative
alarm,alarmer,alarm,alaʀməʀ,alarm,alarms,0.4285714285714285,0.2857142857142857,0.2767857142857143,0.3214285714285714,2.3392857142857144,0.3095238095238096,2,Latin,Latin,hard_negative
albinos,abysse,albinɔs,abis,albinos,abyss,0.4285714285714285,0.4285714285714285,0.3898809523809524,0.4285714285714285,3.107142857142857,0.4285714285714285,5,Latin,Latin,hard_negative
album,malbouffe,album,malbuf,album,junk food,0.3333333333333333,0.3333333333333333,0.1805555555555555,0.2013888888888888,1.8541666666666667,0.1979166666666666,5,Latin,Latin,hard_negative
aldehyd,Alceste,aldɛxɨt,alsɛst,aldehyde,Alceste,0.4285714285714285,0.2857142857142857,0.1666666666666666,0.1845238095238095,1.5178571428571428,0.181547619047619,5,Latin,Latin,hard_negative
aleja,Abeille,alɛja,abɛjl,walk away,Bee,0.4,0.4,0.1,0.1166666666666666,2.125,0.1,6,Latin,Latin,hard_negative
aleksandryn,Alexandre,alɛksandrɨn,aləksɑ̃dʀ,aleksandryn,Alexandre,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.3106060606060606,2.3068181818181817,0.3011363636363636,5,Latin,Latin,hard_negative
alert,Alceste,alɛrt,alsɛst,alert,Alceste,0.3333333333333333,0.3333333333333333,0.1805555555555555,0.2083333333333333,1.75,0.1944444444444444,4,Latin,Latin,hard_negative
alfons,à force,alfɔns,a fɔʀs,alfons,by force,0.3333333333333333,0.3333333333333333,0.1944444444444444,0.2152777777777778,1.7708333333333333,0.2083333333333333,5,Latin,Latin,hard_negative
alians,Albanie,aljans,albani,allies,Albania,0.3333333333333333,0.3333333333333333,0.09375,0.1041666666666666,2.375,0.09375,4,Latin,Latin,hard_negative
aliant,Albanie,aljant,albani,aliant,Albania,0.3333333333333333,0.3333333333333333,0.1006944444444444,0.1111111111111111,2.5416666666666665,0.1006944444444444,4,Latin,Latin,hard_negative
aliaż,algal,aljaʂ,alɡal,alloy,algal,0.4,0.4,0.0666666666666666,0.0666666666666666,1.75,0.0666666666666666,2,Latin,Latin,hard_negative
alienacja,alunation,aljɛnat͡sja,alynasjɔ̃,alienation,alunation,0.5454545454545454,0.2222222222222222,0.1504629629629629,0.162037037037037,1.4166666666666667,0.162037037037037,6,Latin,Latin,hard_negative
alizaryna,réalisation,alizarɨna,ʀealizasjɔ̃,alizaryna,realization,0.5454545454545454,0.5,0.21875,0.2541666666666667,3.0125,0.2291666666666666,7,Latin,Latin,hard_negative
alkalia,alcalin,alkalja,alkalɛ̃,alkalia,alkaline,0.2857142857142857,0.1428571428571428,0.1458333333333333,0.1607142857142857,1.2142857142857142,0.1607142857142857,2,Latin,Latin,hard_negative
alkowa,balconnet,alkɔva,balkɔnɛ,alcove,balconnet,0.4285714285714285,0.2857142857142857,0.1755952380952381,0.1964285714285714,1.8214285714285716,0.1904761904761904,6,Latin,Latin,hard_negative
allel,ablette,allɛl,ablɛt,allele,ablette,0.4,0.4,0.0791666666666666,0.0833333333333333,1.675,0.0791666666666666,4,Latin,Latin,hard_negative
almeja,aluminiage,almɛja,alymɛ̃jaʒ,craves,aluminiage,0.3333333333333333,0.25,0.2317708333333333,0.2552083333333333,1.875,0.2552083333333333,6,Latin,Latin,hard_negative
alonż,abonné,alɔnʂ,abɔne,alonż,subscriber,0.4,0.4,0.1,0.1166666666666666,2.375,0.1,3,Latin,Latin,hard_negative
alonżka,calomnier,alɔnʂka,kalɔnjəʀ,alonżka,slander,0.5,0.5,0.2057291666666666,0.234375,3.296875,0.21875,5,Latin,Latin,hard_negative
altruista,à toute,altrujsta,a tut,altruistic,See you later,0.5555555555555556,0.5555555555555556,0.4953703703703703,0.5555555555555556,4.027777777777778,0.5555555555555556,6,Latin,Latin,hard_negative
altruizm,aliboufier,altrujzm,alibufjəʀ,altruism,Bouvier,0.5555555555555556,0.5555555555555556,0.2268518518518518,0.2638888888888889,3.5416666666666665,0.2361111111111111,6,Latin,Latin,hard_negative
aluzja,alizier,aluzja,alizjəʀ,allusion,alizier,0.4285714285714285,0.1428571428571428,0.1607142857142857,0.1785714285714285,1.4285714285714286,0.1785714285714285,4,Latin,Latin,hard_negative
amant,amazonite,amant,amazɔnit,lover,amazonite,0.375,0.375,0.3385416666666667,0.375,2.71875,0.375,4,Latin,Latin,hard_negative
amarant,amazonite,amarant,amazɔnit,amaranth,amazonite,0.375,0.25,0.1484375,0.171875,1.5,0.1614583333333333,4,Latin,Latin,hard_negative
ambalaż,mbalakh,ambalaʂ,mbalak,emballage,Balakh,0.2857142857142857,0.2857142857142857,0.1547619047619048,0.1726190476190476,1.4107142857142858,0.1696428571428571,3,Latin,Latin,hard_negative
ambaras,abattage,ambaras,abataʒ,ambaras,slaughter,0.4285714285714285,0.2857142857142857,0.1755952380952381,0.2023809523809523,1.7857142857142858,0.1904761904761904,5,Latin,Latin,hard_negative
ambarkować,abandonnateur,ambarkɔvat͡ɕ,abɑ̃dɔnatœʀ,ambark,abandoner,0.5833333333333334,0.6,0.2208333333333333,0.2583333333333333,3.3,0.2208333333333333,9,Latin,Latin,hard_negative
ambasador,matador,ambasadɔr,matadɔʀ,ambassador,matador,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2546296296296296,1.930555555555556,0.2453703703703703,3,Latin,Latin,hard_negative
ambrazura,Abdallah,ambrazura,abdala,ambrazura,Abdallah,0.5555555555555556,0.3333333333333333,0.3148148148148148,0.3657407407407407,2.9722222222222223,0.3611111111111111,7,Latin,Latin,hard_negative
ambulans,abalone,ambulans,abalɔn,ambulance,abalone,0.5,0.25,0.2734375,0.296875,2.34375,0.296875,4,Latin,Latin,hard_negative
amelioracja,acclimatation,amɛljɔrat͡sja,akklimatasjɔ̃,amelioration,acclimatization,0.6153846153846154,0.5,0.1892361111111111,0.2118055555555555,2.7291666666666665,0.1979166666666667,9,Latin,Latin,hard_negative
amfilada,Milouda,amfilada,miluda,amfilada,Melody,0.375,0.25,0.2526041666666667,0.2760416666666667,2.125,0.2760416666666667,5,Latin,Latin,hard_negative
amnezja,aluminiage,amnɛzja,alymɛ̃jaʒ,amnesia,aluminiage,0.5555555555555556,0.625,0.2421875,0.2760416666666667,3.3125,0.2552083333333333,7,Latin,Latin,hard_negative
amniocenteza,aérostat,amɲɔt͡sɛntɛza,aeʀɔsta,amniocentesis,aerostat,0.6153846153846154,0.4545454545454545,0.3768939393939394,0.4166666666666667,3.511363636363636,0.4109848484848485,9,Latin,Latin,hard_negative
amoniak,amoral,amɔɲak,amɔʀal,ammonia,amoral,0.3333333333333333,0.3333333333333333,0.0902777777777777,0.0972222222222222,1.4375,0.0902777777777777,3,Latin,Latin,hard_negative
amonit,amazonite,amɔɲit,amazɔnit,Ammon,amazonite,0.375,0.25,0.2447916666666666,0.2708333333333333,2.015625,0.2682291666666667,3,Latin,Latin,hard_negative
amper,Alépin,ampɛr,alepɛ̃,almost,Alépin,0.5,0.6,0.225,0.2749999999999999,3.625,0.225,5,Latin,Latin,hard_negative
amputacja,apothéosiaque,amputat͡sja,apɔteɔsjak,amputation,apotheosiac,0.5454545454545454,0.4,0.24375,0.2708333333333333,2.5,0.2541666666666667,10,Latin,Latin,hard_negative
amulet,ablette,amulɛt,ablɛt,amulet,ablette,0.3333333333333333,0.3333333333333333,0.1631944444444444,0.1805555555555555,1.625,0.1805555555555555,4,Latin,Latin,hard_negative
amunicja,agitation,amuɲit͡sja,aʒitasjɔ̃,ammunition,agitation,0.6,0.375,0.1302083333333333,0.1354166666666666,1.96875,0.1302083333333333,8,Latin,Latin,hard_negative
anafaza,anatase,anafaza,anataz,anafaza,anatase,0.2857142857142857,0.2857142857142857,0.1517857142857142,0.1726190476190476,1.3571428571428572,0.1666666666666666,3,Latin,Latin,hard_negative
analfabeta,analphabétisme,analfabɛta,analfabetism,illiterate,illiteracy,0.3333333333333333,0.1666666666666666,0.1614583333333333,0.1770833333333333,1.3125,0.1770833333333333,7,Latin,Latin,hard_negative
analiza,banalité,analiza,banalite,analyze,banality,0.375,0.125,0.1276041666666666,0.140625,1.125,0.140625,3,Latin,Latin,hard_negative
analog,abalone,analɔk,abalɔn,analog,abalone,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.0902777777777777,1.4166666666666667,0.0833333333333333,3,Latin,Latin,hard_negative
anamorfoza,thanatophobie,anamɔrfɔza,tanatɔfɔbi,anamorphosis,thanatophobie,0.5,0.4,0.2208333333333333,0.25,2.15,0.2208333333333333,8,Latin,Latin,hard_negative
ancestralny,attestataire,ant͡sɛstralnɨ,atɛstatɛʀ,ancestral,attester,0.5384615384615384,0.5454545454545454,0.2196969696969697,0.2537878787878788,2.761363636363636,0.2424242424242424,7,Latin,Latin,hard_negative
anchois,à force,anxɔjs,a fɔʀs,anchovy,by force,0.5,0.3333333333333333,0.2083333333333333,0.2291666666666666,2.1041666666666665,0.2222222222222222,7,Latin,Latin,hard_negative
anegdota,allegretto,anɛɡdɔta,alɛɡʀɛto,anecdote,allegretto,0.5,0.25,0.0729166666666666,0.078125,1.171875,0.0729166666666666,6,Latin,Latin,hard_negative
aneks,ânesse,anɛks,anɛs,annex,donkey,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,3,Latin,Latin,hard_negative
aneroid,anodonte,anɛrɔjt,anɔdɔ̃t,aneroid,anodonte,0.4285714285714285,0.2857142857142857,0.1696428571428571,0.1964285714285714,1.8214285714285716,0.1845238095238095,5,Latin,Latin,hard_negative
anestetyk,attestataire,anɛstɛtɨk,atɛstatɛʀ,anesthetic,attester,0.4444444444444444,0.2222222222222222,0.0578703703703703,0.0601851851851851,0.9722222222222222,0.0578703703703703,7,Latin,Latin,hard_negative
angażować,organocatalyse,anɡaʐɔvat͡ɕ,ɔʀɡanɔkataljs,engage,organocatalysis,0.6153846153846154,0.5384615384615384,0.344551282051282,0.3846153846153846,3.2788461538461537,0.3782051282051282,10,Latin,Latin,hard_negative
angelizm,affairisme,anɡɛlizm,afɛʀism,angelism,busyness,0.5,0.25,0.1796875,0.1979166666666666,1.65625,0.1901041666666666,7,Latin,Latin,hard_negative
angoba,acrobate,anɡɔba,akʀɔbat,angoba,acrobat,0.4285714285714285,0.4285714285714285,0.1964285714285714,0.2142857142857142,2.267857142857143,0.2083333333333333,4,Latin,Latin,hard_negative
animacja,acclimatation,aɲimat͡sja,akklimatasjɔ̃,animation,acclimatization,0.4615384615384615,0.5,0.3368055555555555,0.3680555555555556,2.9166666666666665,0.3680555555555556,9,Latin,Latin,hard_negative
animalista,capitaliste,aɲimalista,kapitalist,animal rights activist,capitalist,0.4,0.4,0.2270833333333333,0.25,2.2625,0.2479166666666667,4,Latin,Latin,hard_negative
ankieta,accostage,ankʲɛta,akkɔstaʒ,questionnaire,docking,0.5,0.5,0.2838541666666666,0.3072916666666666,2.609375,0.3046875,6,Latin,Latin,hard_negative
ankieter,Aquitaine,ankʲɛtɛr,akitɛn,pollster,Aquitaine,0.5,0.4285714285714285,0.1726190476190476,0.1964285714285714,1.5714285714285714,0.1845238095238095,8,Latin,Latin,hard_negative
ankietować,acceptatif,ankʲɛtɔvat͡ɕ,aksɛptatif,poll,accepting,0.5833333333333334,0.5,0.2145833333333333,0.2375,2.375,0.225,8,Latin,Latin,hard_negative
anons,abonné,anɔns,abɔne,announcement,subscriber,0.4,0.4,0.0916666666666666,0.1083333333333333,2.175,0.0916666666666666,3,Latin,Latin,hard_negative
anonsować,adénomatose,anɔnsɔvat͡ɕ,adenɔmatɔz,advertise,adenomatosis,0.5454545454545454,0.5,0.2166666666666667,0.2333333333333333,2.4875,0.2270833333333333,8,Latin,Latin,hard_negative
ansa,hanap,ansa,ana,ansa,hanap,0.25,0.25,0.2291666666666666,0.25,1.8125,0.25,3,Latin,Latin,hard_negative
ansambl,arable,ansambl,aʀabl,ensemble,arable,0.4285714285714285,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.5535714285714284,0.3214285714285714,4,Latin,Latin,hard_negative
antagonista,anatomiste,antaɡɔɲista,anatɔmist,antagonist,anatomist,0.3636363636363636,0.3636363636363636,0.1969696969696969,0.2159090909090909,1.6704545454545454,0.2140151515151515,4,Latin,Latin,hard_negative
antedatować,attestataire,antɛdatɔvat͡ɕ,atɛstatɛʀ,antedate,attester,0.5384615384615384,0.3636363636363636,0.240530303030303,0.2651515151515151,2.352272727272727,0.2575757575757575,7,Latin,Latin,hard_negative
antonim,anatomiste,antɔɲim,anatɔmist,antonym,anatomist,0.4444444444444444,0.4444444444444444,0.2407407407407407,0.2638888888888889,2.208333333333333,0.261574074074074,5,Latin,Latin,hard_negative
antracen,mathématicien,antrat͡sɛn,matematisjɛ̃,anthracene,mathematician,0.5833333333333334,0.7272727272727273,0.3352272727272727,0.3787878787878787,3.761363636363636,0.3636363636363636,8,Latin,Latin,hard_negative
antraks,anorak,antraks,anɔʀak,anthrax,anorak,0.4285714285714285,0.2857142857142857,0.2113095238095237,0.244047619047619,2.625,0.2232142857142857,2,Latin,Latin,hard_negative
antrakt,anorak,antrakt,anɔʀak,intermediary,anorak,0.4285714285714285,0.2857142857142857,0.2113095238095237,0.244047619047619,2.625,0.2232142857142857,2,Latin,Latin,hard_negative
antreprener,alterner,antrɛprɛnɛr,altɛʀnəʀ,entrepreneur,alternate,0.6363636363636364,0.3636363636363636,0.2803030303030303,0.3333333333333333,2.5454545454545454,0.3181818181818181,4,Latin,Latin,hard_negative
antrepryza,athrepsique,antrɛprɨza,atʀɛpsik,contractor,athrapsique,0.6,0.4,0.2458333333333333,0.2833333333333333,2.35,0.2645833333333333,7,Latin,Latin,hard_negative
antresola,ânesse,antrɛsɔla,anɛs,antresola,donkey,0.5555555555555556,0.5555555555555556,0.4953703703703703,0.5555555555555556,4.027777777777778,0.5555555555555556,6,Latin,Latin,hard_negative
antropomorfizm,apomorphine,antrɔpɔmɔrfizm,apɔmɔʀfin,anthropomorphism,apomorphine,0.5,0.4285714285714285,0.3392857142857143,0.3839285714285714,2.8035714285714284,0.3764880952380953,8,Latin,Latin,hard_negative
antrykot,anatomiste,antrɨkɔt,anatɔmist,entrecote,anatomist,0.5555555555555556,0.4444444444444444,0.2291666666666666,0.2546296296296296,3.111111111111111,0.2384259259259259,6,Latin,Latin,hard_negative
antydatować,abandonnateur,antɨdatɔvat͡ɕ,abɑ̃dɔnatœʀ,predate,abandoner,0.6153846153846154,0.4545454545454545,0.2083333333333333,0.2272727272727273,2.3181818181818183,0.2159090909090908,10,Latin,Latin,hard_negative
antypatia,art pariétal,antɨpatja,aʀt paʀjetal,dislikes,parietal art,0.5,0.5454545454545454,0.2613636363636363,0.2954545454545454,3.113636363636364,0.2821969696969696,6,Latin,Latin,hard_negative
antyszambrować,tétraborate,antɨʂambrɔvat͡ɕ,tetʀabɔʀat,anti-embankment,tetraborate,0.6,0.5384615384615384,0.2852564102564102,0.3237179487179488,3.2596153846153846,0.3125,10,Latin,Latin,hard_negative
antyteza,anatase,antɨtɛza,anataz,antithesis,anatase,0.5,0.25,0.2526041666666666,0.2760416666666666,2.09375,0.2760416666666666,5,Latin,Latin,hard_negative
apanaże,ananas,apanaʐɛ,anana,appanages,pineapple,0.4285714285714285,0.4285714285714285,0.2916666666666666,0.3214285714285714,2.625,0.318452380952381,3,Latin,Latin,hard_negative
apartament,abatacept,apartamɛnt,abatazɛp,apartment,abatacept,0.5,0.4,0.2125,0.2416666666666667,2.05,0.2375,4,Latin,Latin,hard_negative
apasz,apathie,apaʂ,apati,apach,apathy,0.4,0.2,0.1958333333333333,0.2166666666666666,1.75,0.2166666666666666,4,Latin,Latin,hard_negative
