,loan_word,original_word,loan_word_ipas,original_word_ipas,Fast Levenshtein,Dolgo Prime Distance,Feature Edit Distance,Hamming Feature Distance,Weighted Feature Distance,Fast Levenshtein Distance Div Maxlen,label
10,कुमक,کمک,['/kʊ.mək/'],"['/komæk/', '/kɵmak/']",3,0,0.16666666666666666,0.16666666666666666,1.75,0.3,1
11,कागद,کاغذ,"['/kɑː.ɡəd̪/', '[käː.ɡəd̪]']","['/kɑːɣað~kɑːɣið/', '/kɒːɣaz~kɒːɣɪz/', '/kɒːɢæz~kɒːɢez/', '/kɔːɣaz~kɔːɣiz/']",10,5,4.666666666666667,5.208333333333332,38.5,0.5882352941176471,1
12,निगरानी,مَسِیح,"['/nɪɡ.ɾɑː.niː/', '[n̪ɪɡ.ɾäː.n̪iː]']","['/masiːh/', '/masiːh/', '/mæsiːh/', '/maseh/']",10,5,2.4583333333333335,2.791666666666667,23.5,0.6666666666666666,0
13,ख़लक़,دارچین,"['/kʰəlk/', '[kʰəl̪k]', '/xəlq/', '[xəl̪q]']",['[d̪ɒːɾˈt͡ʃʰin]'],12,3,2.5625,2.875,22.75,0.75,0
14,बुलंद,بلند,"['/bʊ.lənd̪/', '[bʊ.l̪ə̃n̪d̪]']","['/bælænd/', '/bæland/', '[boˈlænd̪]']",4,0,0.20833333333333331,0.20833333333333331,2.0,0.3333333333333333,1
15,मसीह,,"['/mə.siːɦ/', '[mə.s̪iːɦ]']",,11,4,2.1875,2.4166666666666665,19.5,1.0,0
16,फ़िरंगी,,"['/pʰɪ.ɾəŋ.ɡiː/', '[pʰɪ.ɾə̃ŋ.ɡiː]', '/fɪ.ɾəŋ.ɡiː/', '[fɪ.ɾə̃ŋ.ɡiː]']",,14,5,4.0625,4.583333333333334,34.875,1.0,0
17,जंगजू,صندوق,"['/d͡ʒəŋ.ɡd͡ʒuː/', '[d͡ʒə̃ŋ.ɡd͡ʒuː]']","['/sˤun.duːq/', '/sˤan.duːq/', '/sˤənˈduːɡ/', '/sˤan.duːq/', '/sˤanˈduːɡ/', '/sanˈduːq/', '/sanˈduːq/', '/sænˈduːɢ/', '/sanˈduq/']",9,4,1.5208333333333333,1.6666666666666667,21.375,0.5625,0
18,ख़ाना,مرتبه,"['/kʰɑː.nɑː/', '[kʰäː.n̪äː]', '/xɑː.nɑː/', '[xäː.n̪äː]']","['/maɾtaba/', '/maɾtaba/', '/mæɾtæbe/', '/maɾtaba/']",7,5,3.0416666666666665,3.4583333333333335,27.75,0.6363636363636364,0
19,गुम,شهری,"['/ɡʊm/', '[ɡʊ̃m]']","['/ʃahɾiː/', '/ʃahɾiː/', '/ʃæhɾiː/', '/ʃahɾiː/']",6,4,2.375,2.666666666666667,22.375,0.6,0
20,साल,سال,"['/sɑːl/', '[s̪äːl̪]']","['[saːl]', '/saːl/', '/sɒːl/']",1,0,0.0625,0.08333333333333333,0.75,0.125,1
21,चायदान,خود,"['/t͡ʃɑːj.d̪ɑːn/', '[t͡ʃäːj.d̪ä̃ːn̪]']","['/xʷad/', '/xʊd/', '/xod/', '/xud/', '/xoːd/', '/xoːd/', '/xuːd/', '/xɵːd/', '/xʊd̪/', '/xwʊd̪/']",10,2,2.4583333333333335,2.666666666666667,23.875,0.625,0
22,नग़मा,نغمه,"['/nəɡ.mɑː/', '[n̪əɡ.mäː]', '/nəɣ.mɑː/', '[n̪əɣ.mäː]']","['/naɣma/', '/naɣma/', '/næɢme/', '/naɣma/']",4,0,0.16666666666666666,0.16666666666666666,1.5,0.36363636363636365,1
23,ग़ज़ब,غضب,"['/ɡə.d͡ʒəb/', '/ɣə.zəb/']","['/ɣa.dˤi.ba/', '/ɣu.dˤi.ba/', '/ɣa.dˤab/', '/ɣa.dˤib/']",4,0,0.375,0.375,4.5,0.36363636363636365,1
24,याद,یاد,"['/jɑːd̪/', '[jäːd̪]', '/jɑː.dɐ/', '/ˈjɑː.d̪ɐ/']","['/jad/', '/jaːd/', '/jɑːd/', '/jɒːd/', '/jɒːd/', '/jɔːd/']",1,0,0.041666666666666664,0.041666666666666664,0.25,0.1111111111111111,1
25,-ईन,خوش,"['/iːn/', '[ĩːn̪]', '/iː.nɐ/', '/ˈiː.n̪ɐ/']","['/χoːʃ/', '/xʷaʃ/', '/xʊʃ/', '/xoʃ/', '/xuʃ/', '/xʊʃ/', '/xwʊʃ/', '/xoʃ/', '/xɔʃ/']",3,2,0.9583333333333333,1.125,13.25,0.375,0
26,परवरिश,پرورش,['/pəɾ.ʋə.ɾɪʃ/'],"['/paɾwaɾiʃ/', '/paɾwaɾɪʃ/', '/pæɾvæɾeʃ/', '/paɾvaɾiʃ/']",5,0,0.41666666666666663,0.5,4.5,0.35714285714285715,1
27,आफ़ताब,آفتاب,"['/ɑːpʰ.t̪ɑːb/', '[äːpʰ.t̪äːb]', '/ɑːf.t̪ɑːb/', '[äːf.t̪äːb]']","['/ɑːftɑːb/', '/ɒːftɒːb/', '/ɒːftɒːb/', '/ɔːftɔːb/']",2,0,0.041666666666666664,0.041666666666666664,0.25,0.15384615384615385,1
28,शक,,"['/ʃək/', '/ɕɐ.kɐ/', '/ˈɕɐ.kɐ/']",,7,2,0.6875,0.7083333333333333,10.625,1.0,0
29,सहरा,,"['/səɦ.ɾɑː/', '[s̪ɛɦ.ɾäː]']",,11,3,2.1875,2.5,21.75,1.0,0
30,जायज़,لهجه,"['/d͡ʒɑː.jəd͡ʒ/', '[d͡ʒäː.jəd͡ʒ]', '/d͡ʒɑː.jəz/', '[d͡ʒäː.jəz]']","['/lahd͡ʒa/', '/lahd͡ʒa/', '/læhd͡ʒe/', '/lahd͡ʒa/']",9,3,0.9583333333333334,1.0833333333333335,22.0,0.6,0
31,लाल,لال,"['/lɑːl/', '[l̪äːl̪]', '/lal/']",['/lɑːl/'],0,0,0.0,0.0,0.0,0.0,1
32,क़बूल,قلم,"['/kə.buːl/', '[kə.buːl̪]', '/qə.buːl/', '[qə.buːl̪]']","['/qa.la.ma/', '/qal.la.ma/', '/qa.lam/', '/ʔa.lam/', '/qələm/', '/ɡa.lam/', '/qa.lam/', '/ʔa.lam/', '/qalm/', '/ʔa.lam/', '/ˈqələm/', '/ˈɡələm/', '/ɡalam/', '/qalam/', '/qalam/', '/ɢælæm/', '/qalam/', '/ʔa.lam/', '[ˈʔa.lam]']",5,2,0.6666666666666666,0.7083333333333334,10.0,0.45454545454545453,0
33,दरख़्त,درخت,"['/d̪ə.ɾəkʰt̪/', '/d̪ə.ɾəxt̪/']","['[deˈɾæxtʰ]', '/dæˈɾæxt/', '/d̪ə.ɾəxt̪/']",0,0,0.0,0.0,0.0,0.0,1
34,कारीगर,زهر,"['/kɑː.ɾiː.ɡəɾ/', '[käː.ɾiː.ɡəɾ]']","['/zhar/', '/zahɾ/', '/zahɾ/', '/zæhɾ/', '/zahɾ/']",10,3,3.104166666666667,3.5000000000000004,27.5,0.6666666666666666,0
35,इंतक़ाल,بخت,"['/ɪn.t̪ə.kɑːl/', '[ɪ̃n̪.t̪ə.käːl̪]', '/ɪn.t̪ə.qɑːl/', '[ɪ̃n̪.t̪ə.qäːl̪]']","['/buxt/', '/baxt/']",10,4,3.166666666666666,3.4999999999999996,29.125,0.6666666666666666,0
36,जसूर,وطن,"['/d͡ʒə.suːɾ/', '[d͡ʒə.s̪uːɾ]']","['/watan/', '/watan/', '/vætæn/', '/vatan/', '/watˤ.tˤan/', '[ˈwɑtˤ.tˤɑn]', '/wa.tˤan/', '[ˈwɑ.tˤɑn]']",8,2,0.8333333333333334,0.9583333333333334,11.0,0.6153846153846154,0
37,गिरोह,گروه,['/ɡɪ.ɾoːɦ/'],"['/ɡuɾoːh/', '/ɡʊɾoːh/', '/ɡoɾuːh/', '/ɡuɾɵːh/']",3,0,0.125,0.125,1.25,0.2727272727272727,1
38,बारूद,,"['/bɑː.ɾuːd̪/', '[bäː.ɾuːd̪]']",,13,3,2.041666666666667,2.333333333333333,20.625,1.0,0
39,नमाज़,نماز,"['/nə.mɑːd͡ʒ/', '[n̪ə.mäːd͡ʒ]', '/nə.mɑːz/', '[n̪ə.mäːz]']","['/namɑːz/', '/namɒːz/', '/næmɒːz/', '/namɔːz/', '/nə.mɑːz/']",0,0,0.0,0.0,0.0,0.0,1
40,गिरफ़्त,میزان,"['/ɡɪ.ɾəpʰt̪/', '/ɡɪ.ɾəft̪/']","['/miːˈzɑːn/', '/miːˈzɒːn/', '/miːˈzɒːn/', '/miˈzɔn/', '/miː.zɑːn/']",8,4,1.5208333333333335,1.7083333333333333,18.5,0.6666666666666666,0
41,ताज़ा,تازه,"['/t̪ɑː.d͡ʒɑː/', '[t̪äː.d͡ʒäː]', '/t̪ɑː.zɑː/', '[t̪äː.zäː]']","['/tɑːza/', '/tɒːza/', '/tɒːze/', '/tɔːza/']",4,0,0.14583333333333334,0.16666666666666666,1.5,0.3333333333333333,1
42,आवाज़,آواز,"['/ɑː.ʋɑːd͡ʒ/', '[äː.ʋäːd͡ʒ]', '/ɑː.ʋɑːz/', '[äː.ʋäːz]']","['/ɑːwɑːz/', '/ɒːwɒːz/', '/ɒːvɒːz/', '/ɔːvɔːz/', '/ɑː.ʋɑːz/']",0,0,0.0,0.0,0.0,0.0,1
43,जशन,جشن,"['/d͡ʒə.ʃən/', '[d͡ʒə.ʃə̃n̪]']","['/d͡ʒaʃn/', '/d͡ʒaʃn/', '/d͡ʒæʃn/', '/d͡ʒaʃn/', '/d͡ʒə.ʃən/']",0,0,0.0,0.0,0.0,0.0,1
44,अगर,अगरु,['/ə.ɡəɾ/'],"['/ɐ.ɡɐ.ɾu/', '/ˈɐ.ɡɐ.ɾu/']",4,1,0.9791666666666667,1.0833333333333333,7.75,0.36363636363636365,1
45,रोज़गार,,"['/ɾoːd͡ʒ.ɡɑːɾ/', '[ɾoːd͡ʒ.ɡäːɾ]', '/ɾoːz.ɡɑːɾ/', '[ɾoːz.ɡäːɾ]']",,13,4,2.9166666666666665,3.375,26.75,1.0,0
46,ज़र,قدرت,"['/d͡ʒəɾ/', '/zəɾ/']","['/qudˈɾat/', '/qʊdˈɾat/', '/ɢodˈɾæt/', '/qudˈɾat/', '[ɢod̪ˈɾæt̪ʰ]']",6,3,2.958333333333333,3.25,24.125,0.5454545454545454,0
47,हिसाब,حساب,"['/ɦɪ.sɑːb/', '[ɦɪ.s̪äːb]']","['/hisɑːb/', '/hɪsɒːb/', '/hesɒːb/', '/hisɔːb/']",3,0,0.08333333333333333,0.08333333333333333,0.5,0.2727272727272727,1
48,ख़ातिर,کافی,"['/kʰɑː.t̪ɪɾ/', '[kʰäː.t̪ɪɾ]', '/xɑː.t̪ɪɾ/', '[xäː.t̪ɪɾ]']","['/kɑːfiː/', '/kɒːfiː/', '/kɒːfiː/', '/kɔːfiː/']",6,2,1.125,1.3333333333333333,10.5,0.46153846153846156,0
49,बस्ता,بسته,"['/bəs.t̪ɑː/', '[bəs̪.t̪äː]']","['/basta/', '/basta/', '/bæste/', '/basta/']",5,0,0.20833333333333331,0.20833333333333331,1.75,0.4166666666666667,1
50,शाहीन,,"['/ʃɑː.ɦiːn/', '[ʃäː.ɦĩːn̪]']",,11,2,2.0833333333333335,2.2916666666666665,18.625,0.9166666666666666,0
51,मर्दानगी,مردانگی,"['/məɾ.d̪ɑːn.ɡiː/', '[məɾ.d̪ä̃ːn̪.ɡiː]']","['/maɾdɑːna\xa0ɡiː/', '/maɾdɒːna\xa0ɡiː/', '/mæɾdɒːne\xa0ɡiː/', '/maɾdɔːna\xa0ɡiː/', '/məɾ.d̪ɑːn.ɡiː/']",0,0,0.0,0.0,0.0,0.0,1
52,व,وَ,"['/ʋə/', '/wə/', '/və/', '[ʋə]', '/ʋə/', '[wʌ]']","['/waːw/', '/w/', '/uː/', '/w/', '/u(ː)/', '/oː/', '/wa/', '/wɪ/', '/w/', '/wa/', '/waːw/', '/w/', '/uː/', '/oː/', '/u/', '/u/', '/waːw/', '/w/', '/oː/', '/waw/', '/o/', '/œ/', '[wau̯]', '[w]', '[w]', '[v]', '[w]', '[f]', '[u]', '[o]', '[ɔ]', '[o]', '[ɔ]', '/wɑw/', '/w/', '/u/', '/ʊ/', '/o/', '/u/', '/wa./', '/wa./', '/væ./', '/va./', '/o/', '/ʋɑːʋ/', '/ʋ/', '/uː/', '/oː/', '/ɔː/', '/ʋə/', '/oː/']",0,0,0.0,0.0,0.0,0.0,1
53,अजीब,غلطی,['/ə.d͡ʒiːb/'],['/ɣəl.(ə.)t̪iː/'],9,4,2.354166666666667,2.5833333333333335,22.375,0.5625,0
54,ग़लत,غلط,"['/ɡə.lət̪/', '[ɡə.l̪ət̪]', '/ɣə.lət̪/', '[ɣə.l̪ət̪]']","['/ɣa.li.tˤa/', '/ɣa.latˤ/', '/ɣa.latˤ/', '/ɣa.laˈt̪/', '/ɣalat/', '/ɣalat/', '/ɢælæt/', '/ɣalat/', '/ɣi.litˤ/', '[ˈɣi.lɪtˤ]']",3,0,0.25,0.25,2.5,0.25,1
55,अंगूर,مذهب,"['/əŋ.ɡuːɾ/', '[ə̃ŋ.ɡuːɾ]']","['/maˈzab/', '/mazˈhab/', '[mæzˈhæb]']",7,4,1.3333333333333333,1.5416666666666667,25.0,0.6363636363636364,0
56,देह,देह,"['/dɐj.ɦɐ/', '/ˈd̪eː.ɦɐ/']","['/dɐj.ɦɐ/', '/ˈd̪eː.ɦɐ/']",0,0,0.0,0.0,0.0,0.0,1
57,दंदान,جدایی,"['/d̪ən.d̪ɑːn/', '[d̪ə̃n̪.d̪ä̃ːn̪]']","['/d͡ʒudɑːjiː/', '/d͡ʒʊdɒːjiː/', '/d͡ʒodɒːjiː/', '/d͡ʒudɔːjiː/']",8,4,1.2916666666666665,1.4583333333333333,22.375,0.5714285714285714,0
58,नौबत,نوبت,"['/nɔː.bət̪/', '[n̪ɔː.bət̪]']","['[noʊˈbæt̪ʰ]', '/nɔː.bət̪/']",0,0,0.0,0.0,0.0,0.0,1
59,बयान,بیان,"['/bə.jɑːn/', '[bə.jä̃ːn̪]']","['/bajɑːn/', '/bajɒːn/', '/bæjɒːn/', '/bajɔːn/']",2,0,0.125,0.125,1.25,0.18181818181818182,1
60,बियाबान,,"['/bɪ.jɑː.bɑːn/', '[bi.jäː.bä̃ːn̪]']",,14,3,3.8125,4.25,32.875,0.9333333333333333,0
61,तल्ख़ी,تلخی,"['/t̪əl.kʰiː/', '[t̪əl̪.kʰiː]', '/t̪əl.xiː/', '[t̪əl̪.xiː]']",['/t̪əl.xiː/'],0,0,0.0,0.0,0.0,0.0,1
62,ईरान,فائده,"['/iː.ɾɑːn/', '[iː.ɾä̃ːn̪]']",['/fɒːʔeˈde/'],7,3,2.5,2.791666666666667,25.375,0.5833333333333334,0
63,जाम,گردن,"['/d͡ʒɑːm/', '[d͡ʒä̃ːm]']","['/ɡaɾdan/', '/ɡaɾdan/', '/ɡæɾdæn/', '/ɡaɾdan/', '/ɡəɾ.d̪ən/']",6,4,2.8541666666666665,3.25,24.125,0.6,0
64,निशान,نشان,"['/nɪ.ʃɑːn/', '[n̪ɪ.ʃä̃ːn̪]']","['/niʃɑːn/', '/nɪʃɒːn/', '/neʃɒːn/', '/niʃɔːn/']",2,0,0.041666666666666664,0.041666666666666664,0.25,0.18181818181818182,1
65,ख़ालिक़,بی‌شمار,"['/kʰɑː.lɪk/', '[kʰäː.l̪ɪk]', '/xɑː.lɪq/', '[xäː.l̪ɪq]']","['/beːʃumɑːɾ/', '/beːʃʊmɒːɾ/', '/biːʃomɒːɾ/', '/beʃumɔːɾ/']",8,5,2.5625,2.8333333333333335,27.0,0.6153846153846154,0
66,परवाज़,پرواز,"['/pəɾ.ʋɑːd͡ʒ/', '[pəɾ.ʋäːd͡ʒ]', '/pəɾ.ʋɑːz/', '[pəɾ.ʋäːz]']","['/paɾwɑːz/', '/paɾwɒːz/', '/pæɾvɒːz/', '/paɾvɔːz/']",3,0,0.29166666666666663,0.375,3.25,0.25,1
67,अफ़साना,افسانه,"['/əpʰ.sɑː.nɑː/', '[əpʰ.s̪äː.n̪äː]', '/əf.sɑː.nɑː/', '[əf.s̪äː.n̪äː]']","['/afsɑːna/', '/afsɒːna/', '/æfsɒːne/', '/afsɔːna/']",5,0,0.22916666666666669,0.25,2.5,0.35714285714285715,1
68,जलवा,جلوه,"['/d͡ʒəl.ʋɑː/', '[d͡ʒəl̪.ʋäː]']",['[d͡ʒelˈve]'],6,1,0.3541666666666667,0.45833333333333337,6.625,0.42857142857142855,1
69,फ़क़त,فقط,"['/pʰə.kət̪/', '/fə.qət̪/']","['/faqat/', '/faqat/', '/fæɢæt/', '/faqat/']",4,0,0.2916666666666667,0.2916666666666667,2.75,0.36363636363636365,1
70,रूस,روس,"['/ɾuːs/', '[ɾuːs̪]']","['/ruːs/', '/raw.wa.sa/', '/ɾuːs/', '/ɾuːs/', '/ɾuːs/', '/ɾus/', '/ɾuːs/']",0,0,0.0,0.0,0.0,0.0,1
71,दाग़,داغ,"['/d̪ɑːɡ/', '[d̪äːɡ]', '/d̪ɑːɣ/', '[d̪äːɣ]']","['[dɑɣ]', '[dɑː]', '[dɑɡ]', '/dɒːɣ/', '/d̪ɑːɣ/']",0,0,0.0,0.0,0.0,0.0,1
72,नान,طبیعت,"['/nɑːn/', '[n̪ä̃ːn̪]']",['/t̪ə.biː.jət̪/'],11,6,3.958333333333334,4.375,35.75,0.6875,0
73,इरादा,اراده,"['/ɪ.ɾɑː.d̪ɑː/', '[ɪ.ɾäː.d̪äː]']",['/eɾɒːde/'],7,0,0.29166666666666663,0.29166666666666663,3.0,0.5,1
74,सरकार,سرکار,"['/səɾ.kɑːɾ/', '[s̪əɾ.käːɾ]', '/səɾ.kaɾ/', '[sʌrkär]']","['/saɾkɑːɾ/', '/saɾkɒːɾ/', '/sæɾkɒːɾ/', '/saɾkɔːɾ/', '/səɾ.kɑːɾ/']",0,0,0.0,0.0,0.0,0.0,1
75,बाज़ू,بازو,"['/bɑː.d͡ʒuː/', '[bäː.d͡ʒuː]', '/bɑː.zuː/', '[bäː.zuː]']","['/bɑˈzu/', '[bɒːˈzuː]', '/bɑː.zuː/']",0,0,0.0,0.0,0.0,0.0,1
76,लहजा,,"['/ləɦ.d͡ʒɑː/', '[l̪ɛɦ.d͡ʒäː]']",,13,3,2.2291666666666665,2.458333333333333,20.125,1.0,0
77,मुसाफ़िर,مسافر,"['/mʊ.sɑː.pʰɪɾ/', '[mʊ.s̪äː.pʰɪɾ]', '/mʊ.sɑː.fɪɾ/', '[mʊ.s̪äː.fɪɾ]']","['/mu.saː.fir/', '/musɑːfiɾ/', '/mʊsɒːfɪɾ/', '/mosɒːfeɾ/', '/musɔːfiɾ/', '/mʊ.sɑː.fɪɾ/']",0,0,0.0,0.0,0.0,0.0,1
78,तंदुरुस्त,تندرست,"['/t̪ən.d̪ʊ.ɾʊst̪/', '[t̪ə̃n̪.d̪ʊ.ɾʊs̪t̪]']",['/t̪ən.d̪ʊ.ɾʊst̪/'],0,0,0.0,0.0,0.0,0.0,1
79,क़िला,بی‌میل,"['/kɪ.lɑː/', '[kɪ.l̪äː]', '/qɪ.lɑː/', '[qɪ.l̪äː]']","['/beːmajl/', '/beːmajl/', '/biːmejl/', '/bemajl/']",6,4,2.2916666666666665,2.5,20.125,0.6,0
80,अंगूरी,انگوری,"['/əŋ.ɡuː.ɾiː/', '[ə̃ŋ.ɡuː.ɾiː]']",['/əŋ.ɡuː.ɾiː/'],0,0,0.0,0.0,0.0,0.0,1
81,फ़ारसी,,"['/pʰɑːɾ.siː/', '[pʰäːɾ.s̪iː]', '/fɑːɾ.siː/', '[fäːɾ.s̪iː]']",,12,4,2.2083333333333335,2.5,21.125,1.0,0
82,दारू,رسم,"['/d̪ɑː.ɾuː/', '[d̪äː.ɾuː]']","['/ɾasm/', '/ɾasm/', '/ɾæsm/', '/ɾasm/', '/ra.sam/', '[ˈra.sam]']",7,3,0.75,0.9583333333333335,15.375,0.5833333333333334,0
83,ताल्लुक़,مرکز,"['/t̪ɑːl.lʊk/', '[t̪äːl̪.l̪ʊk]', '/t̪ɑːl.lʊq/', '[t̪äːl̪.l̪ʊq]']","['[mæɾˈkʲæz]', '/məɾ.kəz/']",8,3,1.1458333333333333,1.2916666666666665,16.125,0.6153846153846154,0
84,बंद,بند,"['/bənd̪/', '[bə̃n̪d̪]']","['/band/', '/bənd̪/']",0,0,0.0,0.0,0.0,0.0,1
85,हाजिरा,هَاجَر,"['/ɦɑː.d͡ʒɪ.ɾɑː/', '[ɦäː.d͡ʒɪ.ɾäː]']","['/haː.ʒar/', '[ˈhæː.ʒar]', '[ˈhæː.d͡ʒar]']",8,1,1.1041666666666667,1.2083333333333333,9.25,0.5,1
86,कोह,کوه,['/koːɦ/'],"['/koːh/', '/koːh/', '/kuːh/', '/kɵːh/']",1,0,0.041666666666666664,0.041666666666666664,0.25,0.125,1
87,सलीब,,"['/sə.liːb/', '[s̪ə.l̪iːb]']",,11,4,2.2083333333333335,2.4166666666666665,21.5,1.0,0
88,लब,لب,"['/ləb/', '[l̪əb]']","['[leb]', '/ˈleb(b)/', '/lab/', '/lab/', '/læb/', '/lab/']",1,0,0.08333333333333333,0.08333333333333333,0.75,0.14285714285714285,1
89,शाह,شاه,"['/ʃɑːɦ/', '[ʃäːɦ]', '[sä̤ː]', '[sä̆ɦä̤]']","['/ʃɑːh/', '/ʃɒːh/', '/ʃɒːh/', '/ʃɔːh/']",1,0,0.041666666666666664,0.041666666666666664,0.25,0.125,1
90,तुर्क,ترک,['/t̪ʊɾk/'],"['/taɾk/', '/taɾk/', '/tæɾk/', '/taɾk/', '/tuɾk/', '/tʊɾk/', '/toɾk/', '/tuɾk/']",1,0,0.041666666666666664,0.041666666666666664,0.25,0.1111111111111111,1
91,समोसा,سنبوسه,"['/sə.moː.sɑː/', '[s̪ə.moː.s̪äː]']","['/samboːsa/', '/samboːsa/', '/sæmbuːse/', '/sambɵːsa/']",6,1,1.1041666666666667,1.2083333333333335,9.0,0.42857142857142855,1
92,ख़ौफ़,صفر,"['/kʰɔːpʰ/', '/xɔːf/']","['/sˤa.far/', '/sˤifr/', '/safa(r)/', '/sifa(r)/', '/sˤfar/', '/sˤifr/', '[sˤɪ.f(e)r]']",4,2,1.2291666666666667,1.4166666666666667,11.625,0.4444444444444444,0
93,अब्रू,شعله,['[əˈbɾuː]'],"['/ʃuʔla/', '/ʃʊʔla/', '/ʃoʔle/', '/ʃɵːʔla/']",8,2,1.5833333333333333,1.7499999999999998,17.5,0.8,0
94,रंगीन,,"['/ɾəŋ.ɡiːn/', '[ɾə̃ŋ.ɡĩːn̪]']",,11,3,2.9375,3.3333333333333335,25.375,0.9166666666666666,0
95,नुमाइश,نمایش,"['/nʊ.mɑː.ɪʃ/', '[n̪ʊ.mäː.ɪʃ]']","['/namɑːjiʃ/', '/namɒːjɪʃ/', '/næmɒːjeʃ/', '/namɔːjiʃ/']",4,1,1.1458333333333335,1.25,9.75,0.3076923076923077,1
96,सरंजाम,,"['/sə.ɾən.d͡ʒɑːm/', '[s̪ə.ɾə̃n̪.d͡ʒä̃ːm]']",,16,5,4.604166666666667,5.166666666666667,37.625,0.9411764705882353,0
97,मीज़ान,میزان,"['/miː.d͡ʒɑːn/', '[miː.d͡ʒä̃ːn̪]', '/miː.zɑːn/', '[miː.zä̃ːn̪]']","['/miːˈzɑːn/', '/miːˈzɒːn/', '/miːˈzɒːn/', '/miˈzɔn/', '/miː.zɑːn/']",0,0,0.0,0.0,0.0,0.0,1
98,-ईन,-ईन,"['/iːn/', '[ĩːn̪]', '/iː.nɐ/', '/ˈiː.n̪ɐ/']","['/iːn/', '[ĩːn̪]', '/iː.nɐ/', '/ˈiː.n̪ɐ/']",0,0,0.0,0.0,0.0,0.0,1
99,बख़्त,بخت,"['/bəkʰt̪/', '/bəxt̪/']","['/buxt/', '/baxt/']",2,0,0.16666666666666666,0.16666666666666666,1.5,0.2222222222222222,1
100,मुक़द्दस,,"['/mʊ.kəd̪.d̪əs/', '[mʊ.kəd̪̚.d̪əs̪]', '/mʊ.qəd̪.d̪əs/', '[mʊ.qəd̪̚.d̪əs̪]']",,16,7,4.875,5.375,41.375,1.0,0
101,ख़ंजर,خنجر,"['/kʰən.d͡ʒəɾ/', '[kʰə̃n̪.d͡ʒəɾ]', '/xən.d͡ʒəɾ/', '[xə̃n̪.d͡ʒəɾ]']","['/xan.d͡ʒar/', '/xand͡ʒaɾ/', '/xand͡ʒaɾ/', '/xænd͡ʒæɾ/', '/xand͡ʒaɾ/', '/xən.d͡ʒəɾ/']",0,0,0.0,0.0,0.0,0.0,1
102,हरगिज़,,"['/ɦəɾ.ɡɪd͡ʒ/', '/ɦəɾ.ɡɪz/']",,11,5,3.0625000000000004,3.458333333333333,28.125,1.0,0
