word,borrowed_word,ipas
زار,زَارَ,"['/zaː.ra/', '/zɑːr/', '/zaːr/', '/zaːr/', '[zɑːrˤ]']"
سائز,size,['/sɑː.ɪz/']
سائنس,science,"['/sɑː.ɪns/', '/sɑː.eːns/']"
سگریٹ,cigarette,[]
سینیٹر,senator,['/siː.neː.ʈəɾ/']
شاور,شَاوَرَ,"['/ʃaː.wa.ra/', '/ʃaː.war/', '/ʃɑː.ʋəɾ/']"
شاپر,shopper,['/ʃɑː.pəɾ/']
شو,*xšáfš,"['/ˈɛʃæu/', '[ʃuː]', '/ʃow/', '/ʃæv/', '/ʃuː/', '[ʃu(ː)]']"
شیفیلڈ,Sheffield,['/ʃɛː.fiːlɖ/']
شیو,شیب,"['[ʃiv]', '[ʃev]', '/ʃiːʋ/', '/ʃeːʋ/']"
صوفہ,sofa,[]
فادر,father,['/fɑː.d̪əɾ/']
فرانس,فرانس,"['/frɑŋs/', '/prɑŋs/', '/fɾɑːns/']"
فلم,film,"['/film/', '/filim/', '/film/']"
فون,phone,"['/fuːn/', '/fōn/']"
لائبریری,library,[]
لتھوینیا,Lithuania,['/lɪ.t̪ʰʊ.eː.nɪ.jɑː/']
لسبین,lesbian,[]
لیئج,Liège,"['/lɪ.jeːd͡ʒ/', '/lɪ.eːd͡ʒ/']"
لیسٹر,Leicester,['/lɛːs.ʈəɾ/']
لیل,Lille,['/liːl/']
لیون,Lyon,"['/lɪ.joːn/', '/lɪ.jɔːn/']"
مانچسٹر,Manchester,"['/mɑːn.t͡ʃəs.ʈəɾ/', '/mɑːn.t͡ʃes.ʈəɾ/', '/mɑ̃ːt͡ʃəs.ʈəɾ/', '/mɑ̃ːt͡ʃes.ʈəɾ/']"
مدراس,Madras,[]
منٹ,minute,"['/mɪɳʈᵊ, mɪ.nəʈ.ʈᵊ/', '/mɪ.nəʈ/']"
مورمن,Mormon,[]
ناولٹ,novelette,[]
نن,nun,[]
نیوزی لینڈ,New Zealand,['/njuː.ziː‿lɛːnɖ/']
وائی فائی,Wi-Fi,['/ʋɑː.iː.fɑː.iː/']
ودکا,во́дка,[]
وہسکی,whiskey,[]
ویژن,vision,['/ʋiː.ʒən/']
ٹرام,tram,[]
ٹلفورڈ,Tilford,['/ʈɪl.foːɾɖ/']
ٹماٹر,tomato,[]
ٹکٹ,ticket,[]
ٹیلی ویژن,television,['/ʈeː.liː.ʋiː.ʒən/']
پاستا,pasta,"['/pɑːstɑː/', '/pɒːstɒː/', '/pɒːstɒː/', '/pɔːstɔː/', '/pɑːs.t̪ɑː/']"
پاسپورٹ,passport,[]
پال,*pāl,[]
پتلون,pantaloon,['/pət̪.luːn/']
پراسیکیوٹر,prosecutor,[]
پروسٹیٹ,prostate,[]
پریڈ,parade,[]
پوپ,pope,[]
پیرس,Paris,"['/pɛː.ɾəs/', '/pɛː.ɾɪs/']"
چرچ,church,[]
چکنگنیا,chikungunya,['/t͡ʃɪ.kən.ɡʊ.nɪ.jɑː/']
ڈاکٹر,doctor,[]
ڈایناسور,dinosaur,[]
ڈنکرک,Dunkirk,['/ɖən.kəɾk/']
ڈچ,Dutch,[]
کاؤ دائی,Cao Dai,[]
کاتھولک,Catholic,[]
کارڈ,card,[]
کرکٹ,cricket,[]
کلکتہ,Calcutta,[]
کمپیوٹر,computer,[]
کوٹ,𑀓𑁄𑀝𑁆𑀝,[]
کپتان,captain,['/kəp.t̪ɑːn/']
کیتھولک,Catholic,[]
کیف,كَيْف,"['[kʲiːf]', '[kʲejf]', '[kʲiːˈjef]', '[kʲiˈjef]', '/kiːf/']"
کیلکولیٹر,calculator,[]
کیلے,Calais,['/kɛː.leː/']
کیمرہ,camera,['/kɛːm.ɾɑː/']
کینسر,cancer,['/kæn.səɾ/']
کینیڈا,Canada,"['/kɛː.neː.ɖɑː/', '/kɛː.nə.ɖɑː/', '/kə.neː.ɖɑː/', '/kɛː.neː.ɖɑː/']"
گرام,gram,[]
گلاس,glass,[]
گنی,guinea,['/ɡɪ.niː/']
گے,gay,['/ɡeː/']
ہارٹلے پول,Hartlepool,"['[ɦɑː.(ɾ)ʈle.puːl]', '[ɦɑː.(ɾ)ʈlɪ.puːl]']"
ہانگ کانگ,Hong Kong,['/ɦɑːŋɡ‿kɑːŋɡ/']
ہوٹل,hotel,['/ɦoː.ʈəl/']
یورپ,Europe,['/joː.ɾəp/']
یونائٹڈ کنگڈم,United Kingdom,[]
یوکرین,Ukraine,['/juːk.ɾeːn/']
